c0_s_available,c0_x_recovered_norm,case,finite,ratio_corrected,rho,seed,z_star_x_norm
True,3.145249022501778e-15,1,True,1.0049999999999997,0.9993392936463338,0,4.231180506300843e-15
True,5.3420228303795025e-16,1,True,1.0050000000000008,0.9986992601679885,1,4.493723322246343e-15
True,3.315161777676118e-15,1,True,1.005,0.9991719773627875,2,7.72109560946523e-16
True,1.0777222296590518e-15,1,True,1.0050000000000001,0.999848258461509,3,6.487576667295252e-15
True,1.7381185692309093e-15,1,True,1.005,0.9995685749082276,4,2.2669853106641347e-15
True,2.6041571405028738e-15,2,True,1.0050000000002886,0.9998811364520922,0,3.248127927973409e-14
True,4.509387971375931e-15,2,True,1.0049999999999868,0.9993047036045963,1,5.681522943081268e-14
True,1.1006801198476733e-15,2,True,1.0050000000002037,0.9987712218926786,2,5.029543636882276e-14
True,3.8334033335924194e-15,2,True,1.0050000000002584,0.9994968910601434,3,4.538003944070176e-14
True,3.826844730970248e-15,2,True,1.0050000000000898,0.9998704055745345,4,3.093136819593837e-13
True,1.915617878558865e-15,3,True,1.0050000000000032,0.9993142411277378,0,1.1215146688370762e-14
True,2.372566158891042e-15,3,True,1.0049999999999981,0.9992341100645851,1,2.3057188257482394e-15
True,1.9842351070894888e-15,3,True,1.0049999999999968,0.9991338297504585,2,2.9147665307331126e-14
True,1.1253514447977039e-15,3,True,1.0049999999999977,0.999853254861755,3,9.594720493473464e-15
True,8.082748117771851e-16,3,True,1.004999999999997,0.9994212256759877,4,1.8193914837034187e-14
True,1.851446636068575e-15,4,True,1.0049999999999994,0.9992008289088872,0,6.057692084543038e-14
True,3.96080013711964e-15,4,True,1.0049999999999986,0.9998343810242404,1,1.5045044465462513e-14
True,2.0980816718372307e-15,4,True,1.0050000000000006,0.9987435227672902,2,2.393084451958362e-15
True,4.208481210005262e-15,4,True,1.004999999999999,0.9992471167509849,3,8.853333336380656e-15
True,2.9560412686633683e-15,4,True,1.005000000000001,0.999342994439931,4,2.088983906439367e-15
True,2.0055003681855543e-15,5,True,1.0050000000000392,0.9994212046401745,0,1.303136730238526e-15
True,2.3198214582831385e-15,5,True,1.0049999999999673,0.99931951991645,1,3.436210936508829e-14
True,3.104281996103696e-15,5,True,1.0049999999999883,0.9994624055149672,2,1.0696013275389322e-14
True,2.157523979516443e-15,5,True,1.0049999999999906,0.9993315114743397,3,1.3018911476207934e-14
True,3.148808579307796e-15,5,True,1.0049999999999404,0.9992164851313761,4,8.171346301370537e-15
True,2.193253037804637e-15,7,True,1.0049999999999997,0.9997193460289797,0,2.486183792503448e-15
True,1.0245077849555946e-15,7,True,1.0050000000000001,0.9994049750421481,1,2.784042234924991e-15
True,1.927875271797488e-15,7,True,1.0050000000000001,0.9990033906973758,2,3.1733613812310775e-15
True,1.975022577818859e-15,7,True,1.005000000000002,0.999133329150621,3,2.710117212001436e-15
True,2.8505938855522024e-15,7,True,1.0049999999999997,0.9991209935390112,4,2.09160625296722e-14
