case,err_t1_corrected,err_t200_corrected,seed
1,0.5297780358719948,49.09906895138365,0
1,0.47381681951578175,866.5488062395863,1
1,0.8366853202521566,28.317826127757098,2
1,0.41937534573195145,14695.893047060434,3
1,0.7385844410201406,1.1807974091278128,4
2,1.1839923964305865,0.9996016234002137,0
2,0.7666041947764648,1.0011572968510365,1
2,0.7211861379584615,36091788.00450689,2
2,0.7018618095915705,0.9966330420699856,3
2,0.8718244541834533,0.9993458726935224,4
3,0.9461691404471522,1.0212544692166672,0
3,0.5442926014202505,1.218280717427963,1
3,0.7718243410398219,1.08671418210391,2
3,0.6449617480009835,4.760653528620914,3
3,0.6635513291981009,7.707645888108934,4
4,0.8312505843294015,166793.54576303728,0
4,0.6228489343668826,0.9954939338704645,1
4,0.907677928718922,0.9958933252188052,2
4,1.0765241302429538,1.0111255834367718,3
4,0.8346623491600744,1.145597752423857,4
5,0.9479598922126522,0.9941918872107871,0
5,0.883909567447665,1.000365464626639,1
5,0.7155914434399814,0.9993261999834431,2
5,0.8493638728982366,0.9967628499982254,3
5,0.9665068899232989,0.9911238744075946,4
7,0.5657792146347085,1.0020985784108531,0
7,0.6942423214462667,128.25361370753012,1
7,0.6837780669100018,1.000509492045295,2
7,0.526672918911291,21371618193.451267,3
7,1.0024364224459834,1.0010961112207726,4
