case,m6_kink_magnitude,max_action,median_cost,median_max_abs_u,median_ratio_to_oracle,median_saturation_frac,n_finite,n_total,oracle,oracle_lqr_cost
1,,50.0,18.590166379165247,34.443226903954084,1.004689213312111,0.0,3,3,M0,18.503399989614632
2,,50.0,30438.31667011504,49.998129035678744,41.171397778161214,0.06976666666666667,3,3,M0,739.3073422991876
3,,50.0,64.45771546905797,48.54437094481124,1.0214920283766074,0.00018333333333333334,3,3,M0,63.101535477958194
4,,50.0,53.70754744824382,49.923261699006595,1.0633015042883882,0.003,3,3,M0,50.5101772466573
5,,200.0,783.4695982574399,143.68929748919436,2.28003547111658,0.0,3,3,M0,343.62167088293535
7,,50.0,28.944398365059346,36.10021321248168,1.0040512944021749,0.0,3,3,M0,28.82760923314502
1,,50.0,18.590166379165197,34.443226903955946,1.0046892133121084,0.0,3,3,M1,18.503399989614632
2,,50.0,30438.31667010603,49.99812903567873,41.17139777814902,0.06976666666666667,3,3,M1,739.3073422991876
3,,50.0,64.45771546905793,48.544370944811135,1.0214920283766067,0.00018333333333333334,3,3,M1,63.101535477958194
4,,50.0,53.707547448244,49.923261699006574,1.0633015042883918,0.003,3,3,M1,50.5101772466573
5,,200.0,783.4695982558266,143.68929748919084,2.280035471111885,0.0,3,3,M1,343.62167088293535
7,,50.0,28.94439836505943,36.10021321248775,1.004051294402178,0.0,3,3,M1,28.82760923314502
1,,50.0,5981.822262822659,49.17297324075843,323.282330067991,0.013183333333333333,3,3,M3,18.503399989614632
2,,50.0,41329790.52665261,47.60302855019101,55903.39519437237,8.333333333333333e-05,3,3,M3,739.3073422991876
3,,50.0,19579.339701248147,49.65261194684501,310.2830945863013,0.009033333333333334,3,3,M3,63.101535477958194
4,,50.0,6159308.894542052,46.887857856681165,121941.93784876626,0.0,3,3,M3,50.5101772466573
5,,200.0,160374485.5454402,164.66375610680376,466718.193684811,0.0,3,3,M3,343.62167088293535
7,,50.0,14253.089807626333,40.586612239206715,494.4249692145337,0.0,3,3,M3,28.82760923314502
1,7.9,50.0,2877.245599034681,35.99619265057058,155.49821117468073,0.0,3,3,M6,18.503399989614632
2,11.2,50.0,50489595.39130332,47.8138735403359,68293.10694289152,3.3333333333333335e-05,3,3,M6,739.3073422991876
3,9.56,50.0,39295.86805033557,49.71339570266976,622.7402828265865,0.027433333333333334,3,3,M6,63.101535477958194
4,15.8,50.0,2726461.1001371755,48.201596974814905,53978.45045807297,0.00035,3,3,M6,50.5101772466573
5,11.4,200.0,124287862.11045898,187.56455782988576,361699.71990154614,0.0,3,3,M6,343.62167088293535
7,6.62,50.0,21179.963437156803,46.08034657321337,734.7110634760787,0.0,3,3,M6,28.82760923314502
