case,cost,cost_ratio_to_oracle,final_norm,finite,init_norm,max_abs_u,max_action,max_norm,oracle_lqr_cost,phase,saturation_frac,seed
1,18.591724890593962,1.0047734416933594,0.000805314419880752,True,6.989096561487128,34.570524034521256,50.0,10.274219830827928,18.503399989614632,1_bound50_all7,0.0,0
1,18.590166919634978,1.004689242521323,0.0007951319332791886,True,6.989096561487128,34.0835475979104,50.0,10.274219830827928,18.503399989614632,1_bound50_all7,0.0,1
1,18.58178035064568,1.0042359977666289,0.0008308425710180446,True,6.989096561487128,34.44326539383693,50.0,10.274219830827928,18.503399989614632,1_bound50_all7,0.0,2
2,38609.51589722166,52.223904306359394,99.77814752619608,True,6.692783665537256,49.99905782225246,50.0,1141.222694963947,739.3073422991876,1_bound50_all7,0.0711,0
2,30438.257294535557,41.17131746571727,89.27690968837112,True,6.692783665537256,49.99812897378785,50.0,845.666926397716,739.3073422991876,1_bound50_all7,0.06966666666666667,1
2,27219.486553051473,36.817552045947515,85.66216834418276,True,6.692783665537256,49.993383332163134,50.0,896.8421012920124,739.3073422991876,1_bound50_all7,0.06976666666666667,2
3,64.45737514742642,1.0214866351380916,0.07171336666043956,True,6.9578749943897575,48.54436664081023,50.0,10.441893949571565,63.101535477958194,1_bound50_all7,0.00018333333333333334,0
3,64.48593068315473,1.0219391682739656,0.05224815172985939,True,6.9578749943897575,48.18304414031856,50.0,10.441893949571565,63.101535477958194,1_bound50_all7,0.00018333333333333334,1
3,64.45771777229807,1.021492064877147,0.05995317480292203,True,6.9578749943897575,48.54914696816118,50.0,10.441893949571565,63.101535477958194,1_bound50_all7,0.00028333333333333335,2
4,53.781120190432695,1.0647580967257815,0.003232925828361881,True,6.916377401178031,49.92326081667973,50.0,10.93622730744508,50.5101772466573,1_bound50_all7,0.002616666666666667,0
4,53.68446713858589,1.0628445605412848,0.0010211525979637833,True,6.916377401178031,49.9147639593089,50.0,11.035390678659741,50.5101772466573,1_bound50_all7,0.0032,1
4,53.70754908961794,1.063301536784297,0.00184982570557589,True,6.916377401178031,49.92967211332064,50.0,10.873394254146392,50.5101772466573,1_bound50_all7,0.003,2
5,16706.744227034887,48.619588468058296,48.84217222453529,True,6.822555499661363,49.999245324470756,50.0,1022.7957029053781,343.62167088293535,1_bound50_all7,0.055683333333333335,0
5,11541.250062727177,33.58708440323904,33.16963257635633,True,6.822555499661363,49.99884086712127,50.0,856.4620488946115,343.62167088293535,1_bound50_all7,0.041883333333333335,1
5,14342.899934580064,41.740382373806646,42.990505697902584,True,6.822555499661363,49.99941834023893,50.0,897.9068096056512,343.62167088293535,1_bound50_all7,0.04476666666666667,2
6,2063014778.6848135,13029551.320171816,20880.747351304417,True,6.972093995846926,49.99999991987339,50.0,295474.94997283776,158.33352415527455,1_bound50_all7,0.16321666666666668,0
6,682772725.8486582,4312243.597755562,9917.967639390703,True,6.972093995846926,49.99999958373634,50.0,239210.69649148567,158.33352415527455,1_bound50_all7,0.15713333333333335,1
6,3038068495.080642,19187777.896620736,24151.937431853927,True,6.972093995846926,49.99999929899595,50.0,378424.06584107946,158.33352415527455,1_bound50_all7,0.17808333333333334,2
7,28.94439949772349,1.0040513336931247,0.2636431525650604,True,6.927963927533026,35.04104991911828,50.0,10.23658630853036,28.82760923314502,1_bound50_all7,0.0,0
7,28.95430688555148,1.0043950107475714,0.2636520992677254,True,6.927963927533026,36.119493004368806,50.0,10.23658630853036,28.82760923314502,1_bound50_all7,0.0,1
7,28.931431995100315,1.0036015044159792,0.26351617709974057,True,6.927963927533026,36.100213676162255,50.0,10.23658630853036,28.82760923314502,1_bound50_all7,0.0,2
