b,finite,label,n_unstable,ratio,rho,seed
0.0,True,baseline_N200,31,372.717872918728,1.0527799402868403,0
0.0,True,baseline_N200,29,1998.531457594414,1.0178528211334696,1
0.0,True,baseline_N200,10,269.44173408505816,1.0148805235887575,2
0.0,True,baseline_N200,18,36.6063300720488,1.0312920785592417,3
0.0,True,baseline_N200,17,451.79131617501224,1.058436065894417,4
0.0,True,extended_N1000,30,78.51856321910134,1.0485795958368862,0
0.0,True,extended_N1000,31,1800.045552570461,1.0165870757507125,1
0.0,True,extended_N1000,10,292.37812984288416,1.0154689157974144,2
0.0,True,extended_N1000,18,35.34294971785046,1.0313164766186858,3
0.0,True,extended_N1000,17,438.17177281879066,1.0560188727422655,4
