ass_dim,case,label,max_abs_ass,max_abs_full,n_near_circle_ass,n_unstable_ass,n_unstable_full,seed
1024,1,B1,0.999339293646336,1.0247243854930297,316,0,11,0
1024,1,B1,0.9986992601679947,1.038385466232203,262,0,12,1
1024,1,B1,0.999171977362782,1.0151642807507364,256,0,7,2
1024,1,B1,0.9998482584615141,1.0486349142132132,608,0,11,3
1024,1,B1,0.999568574908225,1.0048760541860102,346,0,4,4
1024,2,B1,0.9998811364520981,1.020313142935099,358,0,8,0
1024,2,B1,0.9993047036045949,1.0232277867909092,240,0,5,1
1024,2,B1,0.9987712218926862,1.132534893751302,298,0,9,2
1024,2,B1,0.9994968910601568,1.0278389215648474,364,0,4,3
1024,2,B1,0.9998704055745503,1.0180100173350366,314,0,5,4
1024,3,B1,0.9993142411277383,1.0132292922728519,266,0,18,0
1024,3,B1,0.9992341100645882,1.0216932920961967,394,0,19,1
1024,3,B1,0.999133829750463,1.0272040059359784,260,0,9,2
1024,3,B1,0.9998532548617663,1.0304518971991676,352,0,11,3
1024,3,B1,0.99942122567599,1.0332214507035484,356,0,15,4
1024,4,B1,0.9992008289088834,1.0960381507520287,308,0,16,0
1024,4,B1,0.9998343810242523,1.0201943704535086,166,0,4,1
1024,4,B1,0.998743522767306,1.0207658442806773,176,0,5,2
1024,4,B1,0.999247116750984,1.0219760586439675,282,0,7,3
1024,4,B1,0.9993429944399363,1.026369779533879,224,0,9,4
1024,5,B1,0.9994212046401658,1.0279844305267352,222,0,6,0
1024,5,B1,0.9993195199164453,1.0223726342034123,334,0,6,1
1024,5,B1,0.9994624055149715,1.0169246669132825,320,0,11,2
1024,5,B1,0.999331511474332,1.0225413974382331,180,0,12,3
1024,5,B1,0.9992164851313723,1.0237359884924597,298,0,2,4
1024,7,B1,0.9997193460289723,1.0087385652478995,268,0,7,0
1024,7,B1,0.9994049750421495,1.043023640593802,186,0,17,1
1024,7,B1,0.9990033906973732,1.0009073964888204,246,0,8,2
1024,7,B1,0.9991333291506332,1.149926886920555,234,0,14,3
1024,7,B1,0.9991209935390083,1.0044573334314508,242,0,2,4
1024,1,B320,0.9994254060931076,1.0185368769837446,358,0,48,0
1024,1,B320,0.9991129997490973,1.016865083856108,312,0,34,1
1024,1,B320,0.9993902301307949,1.016123430520781,268,0,21,2
1024,1,B320,0.9999066017086657,1.0157253317462922,662,0,51,3
1024,1,B320,0.9996157661209005,1.0195976447424269,374,0,38,4
1024,2,B320,0.99925003852411,1.0403525294221514,386,0,40,0
1024,2,B320,0.9989944776365984,1.0389682877633284,214,0,39,1
1024,2,B320,0.9994492071870481,1.0412928238682724,316,0,40,2
1024,2,B320,0.9994620018886504,1.0402216696091067,350,0,51,3
1024,2,B320,0.9996064344327271,1.0406106561003814,338,0,41,4
1024,3,B320,0.9997948295928293,1.024166728589338,338,0,56,0
1024,3,B320,0.9994705478663861,1.0188344715017852,432,0,37,1
1024,3,B320,0.9995911547906993,1.021199406775964,338,0,45,2
1024,3,B320,0.999974967514755,1.019390870366225,396,0,42,3
1024,3,B320,0.9998492268280884,1.0218421741923518,372,0,53,4
1024,4,B320,0.9999525452738226,1.030417155779197,350,0,51,0
1024,4,B320,0.9989365044994145,1.0255809535937574,178,0,37,1
1024,4,B320,0.999315709526024,1.0324597742738932,206,0,34,2
1024,4,B320,0.9993658459223872,1.0286874199181155,302,0,39,3
1024,4,B320,0.9992095405828991,1.0285853725517058,276,0,40,4
1024,5,B320,0.9993716788273427,1.0403816989181978,250,0,48,0
1024,5,B320,0.9998099842903408,1.0416020105315167,332,0,45,1
1024,5,B320,0.998210919799491,1.041321441184733,338,0,31,2
1024,5,B320,0.9994502007779814,1.041533241629474,220,0,49,3
1024,5,B320,0.99953518090261,1.0415357023243268,344,0,42,4
1024,7,B320,0.9994392253952691,1.0203862335871106,300,0,32,0
1024,7,B320,0.9993608793651468,1.0245606050775948,212,0,39,1
1024,7,B320,0.9993200133241695,1.0216136690798328,288,0,37,2
1024,7,B320,0.999381616081162,1.020759653220462,294,0,35,3
1024,7,B320,0.9994362357403662,1.023919634660985,266,0,43,4
