case,frac_s_energy,frac_x_energy,rank_from_bottom,seed,sigma,variant
1,0.9988981491893903,0.0011018508106096637,1,0,0.025254244513086336,fullM3
1,0.9986154394893838,0.0013845605106161895,2,0,0.034460819346449456,fullM3
1,0.9997334219964037,0.0002665780035963463,3,0,0.038666813526943566,fullM3
1,0.9995758912215903,0.0004241087784097069,4,0,0.04944924596067035,fullM3
1,0.9993359918908558,0.0006640081091442016,5,0,0.060000203336099865,fullM3
1,0.9988009917597575,0.001199008240242593,6,0,0.06291790021011334,fullM3
1,0.9981259051768009,0.0018740948231990807,7,0,0.07104722654059949,fullM3
1,0.9993651800647655,0.0006348199352345326,8,0,0.08159572196876037,fullM3
1,0.9992878480779873,0.000712151922012655,9,0,0.09933675741591746,fullM3
1,0.999753619287176,0.00024638071282399437,10,0,0.1301051128822736,fullM3
2,0.9989143733411265,0.0010856266588734503,1,0,0.011311782877764189,fullM3
2,0.9993122794969833,0.0006877205030166458,2,0,0.019092631274657604,fullM3
2,0.9986223328952819,0.0013776671047180846,3,0,0.02510695662225536,fullM3
2,0.9976547346677856,0.0023452653322143906,4,0,0.0324374835197754,fullM3
2,0.9991380184501452,0.0008619815498548064,5,0,0.03723792400247665,fullM3
2,0.9989825620723541,0.0010174379276458262,6,0,0.04484026220958161,fullM3
2,0.9996761315583745,0.0003238684416254956,7,0,0.04726783115351982,fullM3
2,0.9986210030144319,0.0013789969855680588,8,0,0.05167057453926495,fullM3
2,0.9978922488555372,0.0021077511444628104,9,0,0.05655124987940115,fullM3
2,0.9995601312281754,0.0004398687718245518,10,0,0.07210758527121135,fullM3
3,0.9990840461221496,0.0009159538778503696,1,0,0.02376517484761759,fullM3
3,0.9996897078576465,0.00031029214235343654,2,0,0.02834224190853705,fullM3
3,0.9994033783866895,0.0005966216133105778,3,0,0.039225754573117666,fullM3
3,0.9981047617902759,0.0018952382097241465,4,0,0.04877443228660433,fullM3
3,0.9991039781401609,0.0008960218598390892,5,0,0.051398010167687656,fullM3
3,0.996668963513309,0.0033310364866909383,6,0,0.0657884587763461,fullM3
3,0.9979410164134687,0.002058983586531348,7,0,0.09620484905606365,fullM3
3,0.9979500908719562,0.0020499091280438593,8,0,0.10294843407834815,fullM3
3,0.9995884893625757,0.00041151063742433366,9,0,0.12346298889284942,fullM3
3,0.9991759546153326,0.0008240453846674498,10,0,0.13334633563280351,fullM3
4,0.9994665738429498,0.000533426157050219,1,0,0.01669593848675904,fullM3
4,0.9998590401115416,0.00014095988845837533,2,0,0.026349731280403747,fullM3
4,0.9997305303309807,0.0002694696690192763,3,0,0.034833819113005246,fullM3
4,0.9983613343077499,0.001638665692250092,4,0,0.049272075885965244,fullM3
4,0.999603505836346,0.000396494163653922,5,0,0.05440073674957759,fullM3
4,0.9987723362219189,0.0012276637780811012,6,0,0.056173866142741946,fullM3
4,0.9990795238893271,0.0009204761106729358,7,0,0.06476355001909406,fullM3
4,0.9989219941677476,0.0010780058322523232,8,0,0.07325237198160435,fullM3
4,0.9995856511251523,0.00041434887484770506,9,0,0.07799859344007928,fullM3
4,0.9984731431926175,0.0015268568073824806,10,0,0.08371607132411528,fullM3
5,0.9992156827578484,0.0007843172421515359,1,0,0.009128874070620626,fullM3
5,0.9996060255548281,0.0003939744451718558,2,0,0.027359785946955952,fullM3
5,0.9996707586589111,0.0003292413410889018,3,0,0.033566062076612606,fullM3
5,0.9974409090643551,0.0025590909356449252,4,0,0.03637383185709325,fullM3
5,0.9971510567564313,0.0028489432435686458,5,0,0.03893691967985593,fullM3
5,0.9984502008829934,0.001549799117006605,6,0,0.05144622675518709,fullM3
5,0.996587385864671,0.0034126141353290245,7,0,0.05831309693038153,fullM3
5,0.9995225729910038,0.00047742700899624287,8,0,0.06497482136360547,fullM3
5,0.9983324799966422,0.001667520003357761,9,0,0.06599994758568888,fullM3
5,0.9996785410470234,0.00032145895297659537,10,0,0.07431137748586311,fullM3
7,0.9992304712768437,0.0007695287231562533,1,0,0.09461260782711796,fullM3
7,0.9996669522700316,0.000333047729968472,2,0,0.12366412509617082,fullM3
7,0.9998906107962114,0.00010938920378859741,3,0,0.1672356413931589,fullM3
7,0.9994338920257114,0.0005661079742885753,4,0,0.18942328518526028,fullM3
7,0.999717628203592,0.0002823717964079753,5,0,0.21958906214499718,fullM3
7,0.9995362224679197,0.0004637775320802789,6,0,0.23144056181298983,fullM3
7,0.9995781239920243,0.0004218760079757009,7,0,0.2640263281026846,fullM3
7,0.999699494302574,0.0003005056974260046,8,0,0.2766587620079451,fullM3
7,0.9998272916060817,0.00017270839391820772,9,0,0.29926626788258304,fullM3
7,0.9998630657094747,0.00013693429052531262,10,0,0.30788057707672833,fullM3
