case,eff_rank_1e-3,eff_rank_1e-6,label,n_cols,n_rows,n_singular_values,seed,sigma_max,sigma_min,variant
,6,6,case1_X_ONLY,6,100,6,,33.38693584386686,0.4581963608786458,
,100,100,case1_RANDOM_CONTROL,1030,100,100,,41.99043201511439,22.4155890311882,
1,96,100,fullM3_case1_seed0,1030,100,100,0,55.483792170386316,0.025254244513086322,fullM3
1,100,100,fullM3_case1_seed1,1030,100,100,1,49.62516773550567,0.06560615506088815,fullM3
1,82,100,fullM3_case1_seed2,1030,100,100,2,57.234420674769694,0.0005336654862361365,fullM3
1,65,89,fullM3_case1_seed3,1030,100,100,3,45.44189390777086,1.9032745047496824e-08,fullM3
1,90,100,fullM3_case1_seed4,1030,100,100,4,66.43323985938025,0.0052383053705820385,fullM3
1,67,99,M0_S4_case1_seed0,1030,100,100,0,13953.822297730721,0.010031759175899466,M0_S4
1,47,88,M0_S4_case1_seed1,1030,100,100,1,15647.422569811437,1.4824839465965331e-06,M0_S4
1,47,79,M0_S4_case1_seed2,1030,100,100,2,10893.165259026106,1.5171506735458945e-10,M0_S4
1,42,64,M0_S4_case1_seed3,1030,100,100,3,8144.750878241407,3.7700289326743686e-13,M0_S4
1,49,90,M0_S4_case1_seed4,1030,100,100,4,22038.214282153993,2.0329736719762573e-06,M0_S4
,6,6,case2_X_ONLY,6,100,6,,126.56862417869502,0.20472819141770426,
,100,100,case2_RANDOM_CONTROL,1030,100,100,,41.921803436107076,22.244302309277675,
2,83,100,fullM3_case2_seed0,1030,100,100,0,155.40517902177456,0.011311782877764192,fullM3
2,72,100,fullM3_case2_seed1,1030,100,100,1,157.31999135169383,0.0002862016483149044,fullM3
2,80,100,fullM3_case2_seed2,1030,100,100,2,173.1329933296941,0.011214575158796217,fullM3
2,72,100,fullM3_case2_seed3,1030,100,100,3,144.06406149316518,0.0001963433465050036,fullM3
2,84,100,fullM3_case2_seed4,1030,100,100,4,145.98249226678132,0.013683364506872272,fullM3
2,41,64,M0_S4_case2_seed0,1030,100,100,0,39314.63516502777,1.5372345327051314e-12,M0_S4
2,33,78,M0_S4_case2_seed1,1030,100,100,1,63784.30498199819,3.29427765184856e-10,M0_S4
2,40,82,M0_S4_case2_seed2,1030,100,100,2,69477.33134322456,1.9223089287357897e-08,M0_S4
2,38,67,M0_S4_case2_seed3,1030,100,100,3,76608.96267271726,2.656988884828416e-12,M0_S4
2,39,69,M0_S4_case2_seed4,1030,100,100,4,33196.07971837941,2.0467788542024645e-12,M0_S4
,6,6,case3_X_ONLY,6,100,6,,52.12202199663806,1.66503302988723,
,100,100,case3_RANDOM_CONTROL,1030,100,100,,41.684956306359126,22.017474823422628,
3,94,100,fullM3_case3_seed0,1030,100,100,0,72.94839390687052,0.023765174847617573,fullM3
3,77,100,fullM3_case3_seed1,1030,100,100,1,59.89359895308175,8.895238507193247e-05,fullM3
