agrees,b,case,cost_ratio_to_oracle,delta_nu,dnu_valid,finite,markov_err_h10,observed_success,predicts_success,seed,teacher_mse,variant
True,0.09757285285050359,1,1.0047733797385456,1.5043371368724787e-12,True,True,5.784608989495302e-16,True,True,0,None,M1
True,0.09579767972461178,1,1.0046891645993803,1.5043371368724787e-12,True,True,5.784608989495302e-16,True,True,1,None,M1
True,0.09976150686858862,1,1.0042358850033883,1.5043371368724787e-12,True,True,5.784608989495302e-16,True,True,2,None,M1
True,0.0976754778199165,1,1.004298853750735,1.5043371368724787e-12,True,True,5.784608989495302e-16,True,True,3,None,M1
True,0.09579299322288828,1,1.005222524394419,1.5043371368724787e-12,True,True,5.784608989495302e-16,True,True,4,None,M1
True,0.0,2,52.23045049787946,1.092063927047786e-12,True,True,5.221517662690189e-16,False,False,0,None,M1
True,0.0,2,41.171532558664865,1.092063927047786e-12,True,True,5.221517662690189e-16,False,False,1,None,M1
True,0.0,2,36.8234944946978,1.092063927047786e-12,True,True,5.221517662690189e-16,False,False,2,None,M1
True,0.0,2,36.99927946354852,1.092063927047786e-12,True,True,5.221517662690189e-16,False,False,3,None,M1
True,0.0,2,32.10145911253857,1.092063927047786e-12,True,True,5.221517662690189e-16,False,False,4,None,M1
True,0.03924211131454536,3,1.021486538568651,6.210171426391873e-14,True,True,6.019490461639521e-16,True,True,0,None,M1
True,0.03989404392219822,3,1.0219391664892308,6.210171426391873e-14,True,True,6.019490461639521e-16,True,True,1,None,M1
True,0.04011101811951109,3,1.021491967471227,6.210171426391873e-14,True,True,6.019490461639521e-16,True,True,2,None,M1
True,0.03992196578807381,3,1.0225499150106652,6.210171426391873e-14,True,True,6.019490461639521e-16,True,True,3,None,M1
True,0.03944613665174485,3,1.021454657573427,6.210171426391873e-14,True,True,6.019490461639521e-16,True,True,4,None,M1
True,0.03011718580001419,4,1.0647579577824073,3.373554787246707e-13,True,True,3.4878886873121594e-16,True,True,0,None,M1
True,0.02921806398088872,4,1.0628444710525982,3.373554787246707e-13,True,True,3.4878886873121594e-16,True,True,1,None,M1
True,0.029327599963591296,4,1.0633014500020785,3.373554787246707e-13,True,True,3.4878886873121594e-16,True,True,2,None,M1
True,0.028836671380877376,4,1.063777755716603,3.373554787246707e-13,True,True,3.4878886873121594e-16,True,True,3,None,M1
True,0.028277330180502484,4,1.0638916060528512,3.373554787246707e-13,True,True,3.4878886873121594e-16,True,True,4,None,M1
True,0.017540346393630796,5,2.280042318946351,7.277358768866701e-13,True,True,4.4185304286931126e-16,True,True,0,None,M1
True,0.0030860072165079257,5,4.125066014101021,7.277358768866701e-13,True,True,4.4185304286931126e-16,True,True,1,None,M1
True,0.029537010191020487,5,1.0802250714562327,7.277358768866701e-13,True,True,4.4185304286931126e-16,True,True,2,None,M1
False,0.02912407909378132,5,13.800110288148684,7.277358768866701e-13,True,True,4.4185304286931126e-16,False,True,3,None,M1
True,0.025135308915688003,5,1.105205143557651,7.277358768866701e-13,True,True,4.4185304286931126e-16,True,True,4,None,M1
True,0.08653266633645507,7,1.004051228862857,7.135620886474327e-13,True,True,1.1994456589787702e-15,True,True,0,None,M1
True,0.08619903085854598,7,1.0043949517993658,7.135620886474327e-13,True,True,1.1994456589787702e-15,True,True,1,None,M1
True,0.08946642073728948,7,1.0036014483687872,7.135620886474327e-13,True,True,1.1994456589787702e-15,True,True,2,None,M1
True,0.086953866484337,7,1.003577806487712,7.135620886474327e-13,True,True,1.1994456589787702e-15,True,True,3,None,M1
True,0.08798540540598632,7,1.0038002353337299,7.135620886474327e-13,True,True,1.1994456589787702e-15,True,True,4,None,M1
True,0.000838351355355225,1,1.0047733797385483,1.900294416136808e-15,True,True,8.673617379884035e-19,True,True,0,None,M0_S4
True,0.0008270125855030305,1,1.0046891645993827,1.671496671227159e-15,True,True,8.673617379884035e-19,True,True,1,None,M0_S4
True,0.0008237185227171547,1,1.0042358850033903,1.3565771310134279e-15,True,True,8.673617379884035e-19,True,True,2,None,M0_S4
True,0.0008204992521386782,1,1.0042988537507367,1.7456770579798672e-15,True,True,8.673617379884035e-19,True,True,3,None,M0_S4
True,0.0008253373857659915,1,1.0052225243944217,1.477084350227357e-15,True,True,8.673617379884035e-19,True,True,4,None,M0_S4
True,0.0,2,52.230450497938556,7.256101268142323e-16,True,True,6.938893903907228e-18,False,False,0,None,M0_S4
True,0.0,2,41.17153255867563,5.925524576710567e-16,True,True,6.938893903907228e-18,False,False,1,None,M0_S4
True,0.0,2,36.82349449484051,8.067392579366822e-16,True,True,6.938893903907228e-18,False,False,2,None,M0_S4
True,0.0,2,36.99927946350881,8.666076880947537e-16,True,True,6.938893903907228e-18,False,False,3,None,M0_S4
True,0.0,2,32.101459112576514,8.61164304481005e-16,True,True,6.938893903907228e-18,False,False,4,None,M0_S4
