case,cost_ratio_to_oracle,finite,seed,teacher_mse,variant
1,1.0047733797385456,True,0,None,M1
1,1.0046891645993803,True,1,None,M1
1,1.0042358850033883,True,2,None,M1
1,1.004298853750735,True,3,None,M1
1,1.005222524394419,True,4,None,M1
2,52.23045049787946,True,0,None,M1
2,41.171532558664865,True,1,None,M1
2,36.8234944946978,True,2,None,M1
2,36.99927946354852,True,3,None,M1
2,32.10145911253857,True,4,None,M1
3,1.021486538568651,True,0,None,M1
3,1.0219391664892308,True,1,None,M1
3,1.021491967471227,True,2,None,M1
3,1.0225499150106652,True,3,None,M1
3,1.021454657573427,True,4,None,M1
4,1.0647579577824073,True,0,None,M1
4,1.0628444710525982,True,1,None,M1
4,1.0633014500020785,True,2,None,M1
4,1.063777755716603,True,3,None,M1
4,1.0638916060528512,True,4,None,M1
5,2.280042318946351,True,0,None,M1
5,4.125066014101021,True,1,None,M1
5,1.0802250714562327,True,2,None,M1
5,13.800110288148684,True,3,None,M1
5,1.105205143557651,True,4,None,M1
7,1.004051228862857,True,0,None,M1
7,1.0043949517993658,True,1,None,M1
7,1.0036014483687872,True,2,None,M1
7,1.003577806487712,True,3,None,M1
7,1.0038002353337299,True,4,None,M1
1,1.0047733797385483,True,0,None,M0_S4
1,1.0046891645993827,True,1,None,M0_S4
1,1.0042358850033903,True,2,None,M0_S4
1,1.0042988537507367,True,3,None,M0_S4
1,1.0052225243944217,True,4,None,M0_S4
2,52.230450497938556,True,0,None,M0_S4
2,41.17153255867563,True,1,None,M0_S4
2,36.82349449484051,True,2,None,M0_S4
2,36.99927946350881,True,3,None,M0_S4
2,32.101459112576514,True,4,None,M0_S4
3,1.0214865385686505,True,0,None,M0_S4
3,1.0219391664892306,True,1,None,M0_S4
3,1.0214919674712277,True,2,None,M0_S4
3,1.022549915010665,True,3,None,M0_S4
3,1.021454657573427,True,4,None,M0_S4
4,1.064757957782406,True,0,None,M0_S4
4,1.062844471052595,True,1,None,M0_S4
4,1.0633014500020754,True,2,None,M0_S4
4,1.0637777557166024,True,3,None,M0_S4
4,1.0638916060528485,True,4,None,M0_S4
5,2.2800423189514016,True,0,None,M0_S4
5,4.125066013217443,True,1,None,M0_S4
5,1.0802250714563888,True,2,None,M0_S4
5,13.800110288193869,True,3,None,M0_S4
5,1.1052051435582557,True,4,None,M0_S4
7,1.0040512288628538,True,0,None,M0_S4
7,1.0043949530825964,True,1,None,M0_S4
7,1.0036014483687854,True,2,None,M0_S4
7,1.003577806487711,True,3,None,M0_S4
7,1.003800235333727,True,4,None,M0_S4
1,311.20954886114254,True,0,1.9232638509127502e-06,truncM3
1,2593.0047373370944,True,1,4.014777726083144e-05,truncM3
