case,cond,delta_nu,dist_to_nearest_int,eta_P,eta_Phat,nearest_int,seed,valid,variant,wno
1,-4.1096012571522534e-11,1.5406935213488365e-12,4.1096012571522534e-11,0,0,0,0,True,M1,-4.1096012571522534e-11
1,-4.1096012571522534e-11,1.5406935213488365e-12,4.1096012571522534e-11,0,0,0,1,True,M1,-4.1096012571522534e-11
1,-4.1096012571522534e-11,1.5406935213488365e-12,4.1096012571522534e-11,0,0,0,2,True,M1,-4.1096012571522534e-11
1,-4.1096012571522534e-11,1.5406935213488365e-12,4.1096012571522534e-11,0,0,0,3,True,M1,-4.1096012571522534e-11
1,-4.1096012571522534e-11,1.5406935213488365e-12,4.1096012571522534e-11,0,0,0,4,True,M1,-4.1096012571522534e-11
2,0.0,1.141282948417018e-12,0.0,6,6,0,0,True,M1,5.643687472738722e-17
2,0.0,1.141282948417018e-12,0.0,6,6,0,1,True,M1,5.643687472738722e-17
2,0.0,1.141282948417018e-12,0.0,6,6,0,2,True,M1,5.643687472738722e-17
2,0.0,1.141282948417018e-12,0.0,6,6,0,3,True,M1,5.643687472738722e-17
2,0.0,1.141282948417018e-12,0.0,6,6,0,4,True,M1,5.643687472738722e-17
3,0.0,5.847826633104962e-14,0.0,6,6,0,0,True,M1,-7.345982554305406e-18
3,0.0,5.847826633104962e-14,0.0,6,6,0,1,True,M1,-7.345982554305406e-18
3,0.0,5.847826633104962e-14,0.0,6,6,0,2,True,M1,-7.345982554305406e-18
3,0.0,5.847826633104962e-14,0.0,6,6,0,3,True,M1,-7.345982554305406e-18
3,0.0,5.847826633104962e-14,0.0,6,6,0,4,True,M1,-7.345982554305406e-18
4,0.0014460441462551543,0.9732155786605589,0.0014460441462551543,6,6,0,0,True,M1,0.0014460441462554054
4,0.0014460441462551543,0.9732155786605589,0.0014460441462551543,6,6,0,1,True,M1,0.0014460441462554054
4,0.0014460441462551543,0.9732155786605589,0.0014460441462551543,6,6,0,2,True,M1,0.0014460441462554054
4,0.0014460441462551543,0.9732155786605589,0.0014460441462551543,6,6,0,3,True,M1,0.0014460441462554054
4,0.0014460441462551543,0.9732155786605589,0.0014460441462551543,6,6,0,4,True,M1,0.0014460441462554054
5,0.0,7.143786386930406e-13,0.0,6,6,0,0,True,M1,-3.625436712845514e-17
5,0.0,7.143786386930406e-13,0.0,6,6,0,1,True,M1,-3.625436712845514e-17
5,0.0,7.143786386930406e-13,0.0,6,6,0,2,True,M1,-3.625436712845514e-17
5,0.0,7.143786386930406e-13,0.0,6,6,0,3,True,M1,-3.625436712845514e-17
5,0.0,7.143786386930406e-13,0.0,6,6,0,4,True,M1,-3.625436712845514e-17
7,0.0,7.428874781776302e-13,0.0,3,3,0,0,True,M1,-1.8044819787787792e-17
7,0.0,7.428874781776302e-13,0.0,3,3,0,1,True,M1,-1.8044819787787792e-17
7,0.0,7.428874781776302e-13,0.0,3,3,0,2,True,M1,-1.8044819787787792e-17
7,0.0,7.428874781776302e-13,0.0,3,3,0,3,True,M1,-1.8044819787787792e-17
