case,cond,delta_nu,dist_to_nearest_int,eta_P,eta_Phat,nearest_int,seed,valid,variant,wno
1,-4.101298678615738e-12,1.516529625050247e-12,4.101298678615738e-12,0,0,0,0,True,M1,-4.101298678615738e-12
1,-4.101298678615738e-12,1.516529625050247e-12,4.101298678615738e-12,0,0,0,1,True,M1,-4.101298678615738e-12
1,-4.101298678615738e-12,1.516529625050247e-12,4.101298678615738e-12,0,0,0,2,True,M1,-4.101298678615738e-12
1,-4.101298678615738e-12,1.516529625050247e-12,4.101298678615738e-12,0,0,0,3,True,M1,-4.101298678615738e-12
1,-4.101298678615738e-12,1.516529625050247e-12,4.101298678615738e-12,0,0,0,4,True,M1,-4.101298678615738e-12
2,2.220446049250313e-14,1.0660469232598403e-12,2.220446049250313e-14,6,6,0,0,True,M1,2.2029366494008266e-14
2,2.220446049250313e-14,1.0660469232598403e-12,2.220446049250313e-14,6,6,0,1,True,M1,2.2029366494008266e-14
2,2.220446049250313e-14,1.0660469232598403e-12,2.220446049250313e-14,6,6,0,2,True,M1,2.2029366494008266e-14
2,2.220446049250313e-14,1.0660469232598403e-12,2.220446049250313e-14,6,6,0,3,True,M1,2.2029366494008266e-14
2,2.220446049250313e-14,1.0660469232598403e-12,2.220446049250313e-14,6,6,0,4,True,M1,2.2029366494008266e-14
3,0.0,5.846380019560006e-14,0.0,6,6,0,0,True,M1,-1.3058871469826083e-17
3,0.0,5.846380019560006e-14,0.0,6,6,0,1,True,M1,-1.3058871469826083e-17
3,0.0,5.846380019560006e-14,0.0,6,6,0,2,True,M1,-1.3058871469826083e-17
3,0.0,5.846380019560006e-14,0.0,6,6,0,3,True,M1,-1.3058871469826083e-17
3,0.0,5.846380019560006e-14,0.0,6,6,0,4,True,M1,-1.3058871469826083e-17
4,0.0022406253032594137,0.9669991613935598,0.0022406253032594137,6,6,0,0,True,M1,0.002240625303259114
4,0.0022406253032594137,0.9669991613935598,0.0022406253032594137,6,6,0,1,True,M1,0.002240625303259114
4,0.0022406253032594137,0.9669991613935598,0.0022406253032594137,6,6,0,2,True,M1,0.002240625303259114
4,0.0022406253032594137,0.9669991613935598,0.0022406253032594137,6,6,0,3,True,M1,0.002240625303259114
4,0.0022406253032594137,0.9669991613935598,0.0022406253032594137,6,6,0,4,True,M1,0.002240625303259114
5,-1.5987211554602254e-14,6.823238205711941e-13,1.5987211554602254e-14,6,6,0,0,True,M1,-1.5684055051215022e-14
5,-1.5987211554602254e-14,6.823238205711941e-13,1.5987211554602254e-14,6,6,0,1,True,M1,-1.5684055051215022e-14
5,-1.5987211554602254e-14,6.823238205711941e-13,1.5987211554602254e-14,6,6,0,2,True,M1,-1.5684055051215022e-14
5,-1.5987211554602254e-14,6.823238205711941e-13,1.5987211554602254e-14,6,6,0,3,True,M1,-1.5684055051215022e-14
5,-1.5987211554602254e-14,6.823238205711941e-13,1.5987211554602254e-14,6,6,0,4,True,M1,-1.5684055051215022e-14
7,-7.549516567451064e-15,7.270439815627806e-13,7.549516567451064e-15,3,3,0,0,True,M1,-7.4934153718491e-15
7,-7.549516567451064e-15,7.270439815627806e-13,7.549516567451064e-15,3,3,0,1,True,M1,-7.4934153718491e-15
7,-7.549516567451064e-15,7.270439815627806e-13,7.549516567451064e-15,3,3,0,2,True,M1,-7.4934153718491e-15
7,-7.549516567451064e-15,7.270439815627806e-13,7.549516567451064e-15,3,3,0,3,True,M1,-7.4934153718491e-15
7,-7.549516567451064e-15,7.270439815627806e-13,7.549516567451064e-15,3,3,0,4,True,M1,-7.4934153718491e-15
1,10.565262924993394,1.0,0.4347370750066055,0,11,11,0,False,fullM3,-0.4347370750066047
1,12.638476028413226,1.0,0.36152397158677374,0,12,13,1,False,fullM3,0.6384760284132263
1,7.5910221003274545,1.0,0.4089778996725455,0,7,8,2,False,fullM3,0.5910221003274548
1,10.118902409064841,1.0,0.11890240906484095,0,11,10,3,False,fullM3,-0.8810975909351588
1,3.3916128115246527,1.0,0.39161281152465266,0,4,3,4,False,fullM3,-0.6083871884753475
2,2.082202167714561,1.0,0.08220216771456101,6,8,2,0,False,fullM3,0.08220216771456051
2,-1.1417360631630045,1.0,0.14173606316300447,6,5,-1,1,False,fullM3,-0.14173606316300488
2,2.7065029605401527,1.0,0.2934970394598473,6,9,3,2,False,fullM3,-0.2934970394598476
2,-1.9582872950814298,1.0,0.041712704918570154,6,4,-2,3,False,fullM3,0.04171270491857003
2,-1.0484918795749731,1.0,0.04849187957497314,6,5,-1,4,False,fullM3,-0.048491879574973036
3,11.896606114719706,1.0,0.10339388528029403,6,18,12,0,False,fullM3,-0.10339388528029436
3,13.001568313031548,1.0,0.0015683130315480298,6,19,13,1,False,fullM3,0.0015683130315463745
3,1.1041791819018076,1.0,0.10417918190180764,6,9,1,2,False,fullM3,-1.8958208180981924
3,5.952039133726686,1.0,0.047960866273314195,6,11,6,3,False,fullM3,0.952039133726685
3,9.148623675281135,1.0,0.14862367528113474,6,15,9,4,False,fullM3,0.14862367528113496
