case,cost_ratio,finite,hankel_eff_rank,hankel_sigma6_over_sigma1,internal_dim,ks_over_kx,median_frac_s_unstable,n_unstable_099,n_unstable_10,seed,success,teacher_mse,variant
1,2344644.2999636894,True,60,0.08337098541727024,1024,171.24607511330953,0.6196447244201787,336,11,0,False,1.9232638509127502e-06,fullM3
1,222266155389.8808,True,60,0.08733067012754421,1024,91.47326873066318,0.7612590891797522,273,12,1,False,4.014777726083144e-05,fullM3
1,11.141673549102153,True,60,0.14629547843446558,1024,28.230219967994028,0.5050174520592413,270,7,2,True,2.3248718677662337e-06,fullM3
1,32.901217894502516,True,54,0.04644085560758478,1024,47.18140409627628,0.47815143738821614,619,11,3,True,2.7502641593041317e-06,fullM3
1,11.209360952898752,True,60,0.15919830747933753,1024,100.93189310854804,0.5591520964202692,362,4,4,True,1.044558940217064e-05,fullM3
2,70505.6365212405,True,60,0.054072674827429806,1024,239.66688913252338,0.5759848596376763,373,8,0,False,6.158046219675461e-05,fullM3
2,193163.5011634525,True,60,0.15037870574676981,1024,268.41709019943,0.619604315050842,241,5,1,False,1.5146435820535216e-05,fullM3
2,31126.78910841409,True,60,0.005931379787273282,1024,64.36868803140857,0.5417103302511155,322,9,2,False,6.30963056616383e-05,fullM3
2,740610.0244026185,True,60,0.1164125644225455,1024,122.10838391228545,0.4951418986216074,373,4,3,False,8.853882527948554e-05,fullM3
2,37094.98649112906,True,60,0.10486684499706732,1024,160.00257755612225,0.4744064139545644,342,5,4,False,6.199397781442335e-06,fullM3
3,441.4418325972878,True,60,0.17527845030323333,1024,90.93763099079987,0.6404312074050837,295,18,0,False,7.498291945640385e-06,fullM3
3,752.4568510087832,True,60,0.13171947263503586,1024,109.20090758228446,0.4540744432510974,414,19,1,False,3.2354165108069674e-06,fullM3
3,310.9354239129482,True,60,0.195089188941714,1024,56.4421298707336,0.7071270916762904,288,9,2,False,8.743497524162367e-06,fullM3
3,76.55757814968463,True,60,0.051388829851076026,1024,45.3492784819595,0.5125812361503523,370,11,3,True,8.116954362782625e-06,fullM3
3,298.4773892551595,True,60,0.15357477948170017,1024,113.63448048599601,0.6730292134011917,366,15,4,False,8.742279686447987e-07,fullM3
4,1578484.4175855108,True,60,0.04409926392322042,1024,58.19532926689875,0.44420002291140526,332,16,0,False,8.48063986758616e-06,fullM3
4,61848.76385760937,True,60,0.12088394698839164,1024,70.08694481944568,0.5994682371186897,175,4,1,False,0.00024466238867663963,fullM3
4,493059.9420296438,True,60,0.06733367935921102,1024,65.5040361188157,0.5744135211172801,201,5,2,False,6.56387341964084e-06,fullM3
4,5190724973.250946,True,60,0.11073174199253627,1024,133.16097252308367,0.4931202029535119,312,7,3,False,0.00014007459522533827,fullM3
4,42043.4161650494,True,60,0.045483815240999696,1024,59.445899533106726,0.3850949510475553,261,9,4,False,1.4399212361247138e-05,fullM3
5,9670880178951.049,True,60,0.14994851498013786,1024,170.94826653534446,0.6509547059194751,246,6,0,False,2.3933150837624324e-06,fullM3
5,1082977.0126357726,True,60,0.13368920505520396,1024,258.9665499369474,0.5143264700702072,344,6,1,False,0.0004218588114057352,fullM3
5,1263.9341750259389,True,60,0.06312510557022566,1024,77.16946517041426,0.4770565888082167,342,11,2,False,2.5093283646426095e-05,fullM3
5,887.0942735334295,True,60,0.08386565961473795,1024,99.52165059639306,0.5853251510963274,204,12,3,False,4.502914489343399e-06,fullM3
5,19472.26053524322,True,60,0.06764444490582257,1024,20.299320789764387,0.516204027329903,310,2,4,False,3.3718947920249756e-06,fullM3
7,268.5374996142177,True,60,0.1607949749113066,1024,121.0483680098491,0.685895484475393,280,7,0,False,1.8187420700467287e-06,fullM3
7,2502.320059295815,True,60,0.10078573088547627,1024,62.82552415652388,0.7164706066176946,209,17,1,False,1.5519444989427692e-06,fullM3
7,2628.7544874366886,True,60,0.19951535888539804,1024,52.03105098847915,0.5650815667109044,269,8,2,False,1.0613815526045985e-06,fullM3
7,154714.18881589154,True,60,0.015759754513067187,1024,25.991570314934837,0.61697390550328,251,14,3,False,7.91858374917963e-07,fullM3
7,313.0062473586438,True,60,0.246131845305163,1024,109.55724596755257,0.5184948705568775,254,2,4,False,2.7303659695831244e-06,fullM3
1,1.0050000000000006,True,6,0.05759383219666924,1024,3.0117336175143344e-13,nan,72,0,0,True,nan,M0_S4
1,1.0049999999999997,True,6,0.05759383219666924,1024,2.5834528154621503e-13,nan,41,0,1,True,nan,M0_S4
1,1.004999999999998,True,6,0.05759383219666924,1024,2.8647680456894466e-13,nan,50,0,2,True,nan,M0_S4
1,1.0049999999999992,True,6,0.05759383219666924,1024,2.9327065484320927e-13,nan,119,0,3,True,nan,M0_S4
1,1.0049999999999992,True,6,0.05759383219666924,1024,4.1753671290272526e-13,nan,61,0,4,True,nan,M0_S4
2,1.0050000000001287,True,6,0.01266105945830201,1024,3.43072208903459e-14,0.9999906047215092,64,6,0,True,nan,M0_S4
2,1.0050000000000192,True,6,0.01266105945830201,1024,5.410705638688235e-14,0.9999959906733099,38,6,1,True,nan,M0_S4
2,1.0050000000002286,True,6,0.01266105945830201,1024,4.5310564824370057e-14,0.9999947754036173,52,6,2,True,nan,M0_S4
2,1.005000000000032,True,6,0.01266105945830201,1024,3.755376612581052e-14,0.9999883074257732,64,6,3,True,nan,M0_S4
2,1.0049999999999935,True,6,0.01266105945830201,1024,4.465983371167144e-14,0.9999898937358862,86,6,4,True,nan,M0_S4
3,1.0049999999999988,True,6,0.09608022328886137,1024,1.2313559374107948e-13,0.9999971707557831,76,6,0,True,nan,M0_S4
3,1.0050000000000003,True,6,0.09608022328886137,1024,1.5424178305745388e-13,0.9999967069083594,73,6,1,True,nan,M0_S4
3,1.0050000000000083,True,6,0.09608022328886137,1024,1.1396466649650914e-13,0.9999954526271394,44,6,2,True,nan,M0_S4
3,1.0049999999999961,True,6,0.09608022328886137,1024,1.360451626994503e-13,0.9999965693515536,79,6,3,True,nan,M0_S4
3,1.0050000000000014,True,6,0.09608022328886137,1024,1.7166373892765543e-13,0.9999974847989901,87,6,4,True,nan,M0_S4
4,1.0049999999999957,True,6,0.0908809400619205,1024,1.266175495493214e-13,0.9999950260924575,71,6,0,True,nan,M0_S4
4,1.0049999999999966,True,6,0.0908809400619205,1024,1.241657195583474e-13,0.9999969015754262,30,6,1,True,nan,M0_S4
4,1.0049999999999992,True,6,0.0908809400619205,1024,1.1573261923753793e-13,0.9999973181978111,32,6,2,True,nan,M0_S4
4,1.0050000000000006,True,6,0.0908809400619205,1024,2.9277225727543473e-13,0.9999975903963167,58,6,3,True,nan,M0_S4
4,1.0049999999999981,True,6,0.0908809400619205,1024,1.0541053119179126e-13,0.9999910639024245,46,6,4,True,nan,M0_S4
