abs_diff_conv_vs_step,case,seed,step,variant
2.9976021664879227e-15,1,0,0,fullM3
1.0047518372857667e-14,1,0,1,fullM3
1.354472090042691e-14,1,0,2,fullM3
1.8984813721090177e-14,1,0,3,fullM3
2.2870594307278225e-14,1,0,4,fullM3
1.5210055437364645e-14,1,0,5,fullM3
1.4876988529977098e-14,1,0,6,fullM3
1.9095836023552692e-14,1,0,7,fullM3
2.0650148258027912e-14,1,0,8,fullM3
2.4424906541753444e-14,1,0,9,fullM3
2.4202861936828413e-14,1,0,10,fullM3
3.4638958368304884e-14,1,0,11,fullM3
3.9968028886505635e-14,1,0,12,fullM3
5.040412531798211e-14,1,0,13,fullM3
5.995204332975845e-14,1,0,14,fullM3
6.750155989720952e-14,1,0,15,fullM3
7.327471962526033e-14,1,0,16,fullM3
8.526512829121202e-14,1,0,17,fullM3
9.059419880941277e-14,1,0,18,fullM3
9.681144774731365e-14,1,0,19,fullM3
9.969802761133906e-14,1,0,20,fullM3
1.0591527654923993e-13,1,0,21,fullM3
1.1146639167236572e-13,1,0,22,fullM3
1.1679546219056647e-13,1,0,23,fullM3
1.219024881038422e-13,1,0,24,fullM3
1.2967404927621828e-13,1,0,25,fullM3
1.3722356584366935e-13,1,0,26,fullM3
1.4366285938649526e-13,1,0,27,fullM3
1.509903313490213e-13,1,0,28,fullM3
1.6631140908884845e-13,1,0,29,fullM3
1.6109336087311021e-13,1,0,30,fullM3
1.6109336087311021e-13,1,0,31,fullM3
1.6253665080512292e-13,1,0,32,fullM3
1.6575629757653587e-13,1,0,33,fullM3
1.688649220454863e-13,1,0,34,fullM3
1.6853185513809876e-13,1,0,35,fullM3
1.8385293287792592e-13,1,0,36,fullM3
1.8984813721090177e-13,1,0,37,fullM3
2.000621890374532e-13,1,0,38,fullM3
2.0294876890147862e-13,1,0,39,fullM3
2.1005419625907962e-13,1,0,40,fullM3
1.9961809982760315e-13,1,0,41,fullM3
1.9184653865522705e-13,1,0,42,fullM3
1.8318679906315083e-13,1,0,43,fullM3
1.8063328610651297e-13,1,0,44,fullM3
1.7341683644644945e-13,1,0,45,fullM3
1.674216321134736e-13,1,0,46,fullM3
1.6131540547803525e-13,1,0,47,fullM3
1.5576429035490946e-13,1,0,48,fullM3
1.504352198367087e-13,1,0,49,fullM3
1.4555023852835802e-13,1,0,50,fullM3
1.4066525722000733e-13,1,0,51,fullM3
1.3555823130673161e-13,1,0,52,fullM3
1.2989609388114332e-13,1,0,53,fullM3
1.2922996006636822e-13,1,0,54,fullM3
1.2678746941219288e-13,1,0,55,fullM3
1.241229341530925e-13,1,0,56,fullM3
1.241229341530925e-13,1,0,57,fullM3
1.2989609388114332e-13,1,0,58,fullM3
1.354472090042691e-13,1,0,59,fullM3
1.3788969965844444e-13,1,0,60,fullM3
1.376676550535194e-13,1,0,61,fullM3
1.467714838554457e-13,1,0,62,fullM3
1.5720758028692217e-13,1,0,63,fullM3
1.652011860642233e-13,1,0,64,fullM3
1.729727472365994e-13,1,0,65,fullM3
1.836308882730009e-13,1,0,66,fullM3
1.8030021919912542e-13,1,0,67,fullM3
1.8030021919912542e-13,1,0,68,fullM3
1.8052226380405045e-13,1,0,69,fullM3
1.7963408538435033e-13,1,0,70,fullM3
1.8052226380405045e-13,1,0,71,fullM3
1.7896795156957523e-13,1,0,72,fullM3
1.7674750552032492e-13,1,0,73,fullM3
1.7430501486614958e-13,1,0,74,fullM3
1.8141044222375058e-13,1,0,75,fullM3
1.900701818158268e-13,1,0,76,fullM3
1.9562129693895258e-13,1,0,77,fullM3
1.9895196601282805e-13,1,0,78,fullM3
2.028377465990161e-13,1,0,79,fullM3
2.0328183580886616e-13,1,0,80,fullM3
2.123301534595612e-13,1,0,81,fullM3
2.2054580384178735e-13,1,0,82,fullM3
2.3042678876095124e-13,1,0,83,fullM3
2.361444373377708e-13,1,0,84,fullM3
2.4444335444684384e-13,1,0,85,fullM3
2.502442697505103e-13,1,0,86,fullM3
2.576272528642676e-13,1,0,87,fullM3
2.5326962749261384e-13,1,0,88,fullM3
2.4319435354414054e-13,1,0,89,fullM3
2.382538610845586e-13,1,0,90,fullM3
2.2681856393091948e-13,1,0,91,fullM3
2.2104540420286867e-13,1,0,92,fullM3
2.0949908474676704e-13,1,0,93,fullM3
2.0472512574087887e-13,1,0,94,fullM3
1.9406698470447736e-13,1,0,95,fullM3
1.8818280267396403e-13,1,0,96,fullM3
1.7608137170554983e-13,1,0,97,fullM3
1.6620038678638593e-13,1,0,98,fullM3
1.609823385706477e-13,1,0,99,fullM3
3.1086244689504383e-15,1,1,0,fullM3
4.551914400963142e-15,1,1,1,fullM3
4.496403249731884e-15,1,1,2,fullM3
6.161737786669619e-15,1,1,3,fullM3
7.993605777301127e-15,1,1,4,fullM3
7.549516567451064e-15,1,1,5,fullM3
6.938893903907228e-15,1,1,6,fullM3
6.328271240363392e-15,1,1,7,fullM3
7.494005416219807e-15,1,1,8,fullM3
9.270362255620057e-15,1,1,9,fullM3
1.0269562977782698e-14,1,1,10,fullM3
1.4016565685892601e-14,1,1,11,fullM3
1.4932499681208355e-14,1,1,12,fullM3
1.762479051592436e-14,1,1,13,fullM3
1.9539925233402755e-14,1,1,14,fullM3
2.095545958979983e-14,1,1,15,fullM3
2.531308496145357e-14,1,1,16,fullM3
2.942091015256665e-14,1,1,17,fullM3
2.8754776337791554e-14,1,1,18,fullM3
2.708944180085382e-14,1,1,19,fullM3
2.9976021664879227e-14,1,1,20,fullM3
3.172462292866385e-14,1,1,21,fullM3
3.341771304121721e-14,1,1,22,fullM3
3.569367024169878e-14,1,1,23,fullM3
3.602673714908633e-14,1,1,24,fullM3
3.702593787124897e-14,1,1,25,fullM3
3.8469227803261674e-14,1,1,26,fullM3
3.913536161803677e-14,1,1,27,fullM3
4.141131881851834e-14,1,1,28,fullM3
4.3576253716537394e-14,1,1,29,fullM3
4.250766405533568e-14,1,1,30,fullM3
4.5755066402364264e-14,1,1,31,fullM3
4.618527782440651e-14,1,1,32,fullM3
4.833633493461775e-14,1,1,33,fullM3
5.08759701034478e-14,1,1,34,fullM3
5.309641615269811e-14,1,1,35,fullM3
5.900835375882707e-14,1,1,36,fullM3
6.025735466153037e-14,1,1,37,fullM3
6.150635556423367e-14,1,1,38,fullM3
6.561418075534675e-14,1,1,39,fullM3
6.356026815979021e-14,1,1,40,fullM3
5.795364188543317e-14,1,1,41,fullM3
5.639932965095795e-14,1,1,42,fullM3
5.2513549064769904e-14,1,1,43,fullM3
4.923839114212569e-14,1,1,44,fullM3
4.696243394164412e-14,1,1,45,fullM3
4.418687638008123e-14,1,1,46,fullM3
4.2743586448068527e-14,1,1,47,fullM3
3.808064974464287e-14,1,1,48,fullM3
3.5083047578154947e-14,1,1,49,fullM3
3.164135620181696e-14,1,1,50,fullM3
2.8976820942716586e-14,1,1,51,fullM3
2.5868196473766147e-14,1,1,52,fullM3
2.375877272697835e-14,1,1,53,fullM3
1.9761969838327786e-14,1,1,54,fullM3
1.7416623698807143e-14,1,1,55,fullM3
1.7503359872605984e-14,1,1,56,fullM3
1.8859913630819847e-14,1,1,57,fullM3
2.1538326677728037e-14,1,1,58,fullM3
2.3647750424515834e-14,1,1,59,fullM3
2.786659791809143e-14,1,1,60,fullM3
