P_asymmetry_frac,case,is_pd,label,min_eig_Psym,seed,stein_rel_residual
3.245759933959397e-16,1,True,B1,1.0015638843116108,0,3.1785795188515047e-15
2.953986475248443e-16,1,True,B1,1.003613800292389,1,4.788442011944852e-15
2.698256345738507e-16,1,True,B1,1.0006993807762627,2,2.0958116767133535e-15
2.97517793422917e-16,1,True,B1,1.0057692884208354,3,1.2644088702189592e-15
2.9208208189563066e-16,1,True,B1,1.0003181463791542,4,1.4248089668640063e-15
2.3044340010756763e-16,2,True,B1,1.0000044274186277,0,2.597573278686234e-15
2.9703800960944064e-16,2,True,B1,1.0002888374287888,1,2.3016127701047953e-15
3.1265420647679958e-16,2,True,B1,1.0008445332179756,2,3.2191381456109195e-15
2.740796715326145e-16,2,True,B1,1.0001004235169788,3,2.16907507488462e-15
2.62588478511366e-16,2,True,B1,1.0005710508160899,4,3.1536510585683698e-15
3.1146969350744964e-16,3,True,B1,1.0002921595180605,0,3.2362426757664097e-15
2.995388205352113e-16,3,True,B1,1.0019574597512497,1,1.9766574089782545e-15
2.9239493095744113e-16,3,True,B1,1.0018077967438344,2,3.9354984931253695e-15
2.540361145995116e-16,3,True,B1,1.000271723022509,3,2.6078646162999987e-15
2.8119121718671983e-16,3,True,B1,1.0008913327621396,4,1.1460354165324398e-15
3.060300756111529e-16,4,True,B1,1.0001316257699198,0,4.640834826861222e-15
2.5622574643470705e-16,4,True,B1,1.0000179541510936,1,3.686433646344193e-15
3.0708611607533953e-16,4,True,B1,1.00042554889164,2,3.398175804571241e-15
3.118453910487821e-16,4,True,B1,1.0002842964737508,3,2.6115378652550602e-15
3.070783790083348e-16,4,True,B1,1.0000671455585237,4,2.3320375803736183e-15
2.8297825898005135e-16,5,True,B1,1.0004055937219567,0,1.787245811622661e-15
3.0150516177260647e-16,5,True,B1,1.001276484739613,1,2.2874337501603757e-15
2.700048768449453e-16,5,True,B1,1.0017384685756583,2,2.3736849242274964e-15
4.0249355360816676e-16,5,True,B1,1.000521717232499,3,1.7154823900821642e-15
2.9898269731004854e-16,5,True,B1,1.0003332934935782,4,2.2219721772257455e-15
2.54793783687889e-16,7,True,B1,1.0019537274766748,0,2.3583679523587293e-15
2.9040056666288427e-16,7,True,B1,1.0004511356545762,1,3.894215119390025e-15
2.6735574375370054e-16,7,True,B1,1.004409154474687,2,3.779522156259846e-15
3.104130436018158e-16,7,True,B1,1.001697977620915,3,3.924580577828721e-15
3.0535633738432357e-16,7,True,B1,1.0001337195947175,4,3.02780642905282e-15
1.5750822062174251e-15,1,True,B320,1.0007391656938505,0,3.3436683497427995e-15
2.4616788614973677e-16,1,True,B320,1.0004141076892885,1,4.07795587166411e-15
2.6409939153957107e-16,1,True,B320,1.000614228013687,2,1.6513280807123172e-15
2.2416034550693027e-16,1,True,B320,1.007822086029736,3,2.9599952082014473e-15
2.263755142476531e-16,1,True,B320,1.0008869147290522,4,1.3487498588745435e-15
3.2084525353828915e-16,2,True,B320,1.0001989754846248,0,3.981804080233462e-15
2.7167151187046288e-16,2,True,B320,1.0013288584661637,1,2.2867959568167766e-15
2.3917188236172487e-16,2,True,B320,1.0001826583634115,2,2.734700378246889e-15
2.7350237358326165e-16,2,True,B320,1.0001226223825759,3,2.8234532113214426e-15
2.758537351369917e-16,2,True,B320,1.0000687736829066,4,3.702051247613127e-15
3.429494686566427e-16,3,True,B320,1.0004823654686936,0,3.772513818236878e-15
2.3953789291811006e-16,3,True,B320,1.0015445014859512,1,2.0032032173440944e-15
7.193298743992154e-16,3,True,B320,1.0031153077592567,2,4.591230107560941e-15
2.7225234289782626e-16,3,True,B320,1.0077976707498424,3,8.598217409875186e-15
2.624507385824642e-16,3,True,B320,1.002764397879996,4,1.0760968293534007e-15
2.8115997685482036e-14,4,True,B320,1.0014218404595308,0,3.7949992287574554e-15
2.746864888911371e-16,4,True,B320,1.000416822643306,1,5.43259328323876e-15
2.8274680350690195e-16,4,True,B320,1.0005811410245322,2,2.4708234933444203e-15
2.771721543605517e-16,4,True,B320,1.0006482474951468,3,3.0824962178789027e-15
2.466508227181656e-16,4,True,B320,1.0004689711271795,4,1.9896707384447545e-15
2.8698209763061584e-16,5,True,B320,1.0003168085486662,0,1.6948479109084028e-15
2.381451031574701e-16,5,True,B320,1.0016612812742691,1,1.7450960514890748e-15
2.6426139877862813e-16,5,True,B320,1.0006188889045144,2,2.757551042954054e-15
3.065931137648425e-16,5,True,B320,1.000490783577887,3,1.1604717447802298e-15
2.597208619016516e-16,5,True,B320,1.0012133517912267,4,1.947501914615595e-15
2.7974565927941945e-16,7,True,B320,1.0009898121715382,0,2.321783374740754e-15
4.631892124719228e-16,7,True,B320,1.0055461411997022,1,3.737496074605436e-15
2.637140197927171e-16,7,True,B320,1.0133512950686312,2,3.797487586717922e-15
2.8655051788793982e-15,7,True,B320,1.0007049621309803,3,4.265505509964599e-15
2.3709685662953555e-16,7,True,B320,1.0013579021212387,4,2.126331897850922e-15
