variant,case,seed,rho_Kx_only
M1,1,0,0.9546564246190881
M1,1,1,0.9546564246190881
M1,1,2,0.9546564246190881
M1,1,3,0.9546564246190881
M1,1,4,0.9546564246190881
M1,2,0,0.9933836889767599
M1,2,1,0.9933836889767599
M1,2,2,0.9933836889767599
M1,2,3,0.9933836889767599
M1,2,4,0.9933836889767599
M1,3,0,0.9729057515245336
M1,3,1,0.9729057515245336
M1,3,2,0.9729057515245336
M1,3,3,0.9729057515245336
M1,3,4,0.9729057515245336
M1,4,0,0.9477829878361324
M1,4,1,0.9477829878361324
M1,4,2,0.9477829878361324
M1,4,3,0.9477829878361324
M1,4,4,0.9477829878361324
M1,5,0,0.9880976154265947
M1,5,1,0.9880976154265947
M1,5,2,0.9880976154265947
M1,5,3,0.9880976154265947
M1,5,4,0.9880976154265947
M1,7,0,0.988903618936451
M1,7,1,0.988903618936451
M1,7,2,0.988903618936451
M1,7,3,0.988903618936451
M1,7,4,0.988903618936451
M0_S4,1,0,0.9546564246192176
M0_S4,1,1,0.9546564246191043
M0_S4,1,2,0.9546564246191435
M0_S4,1,3,0.9546564246193013
M0_S4,1,4,0.9546564246191152
M0_S4,2,0,0.9933836889767087
M0_S4,2,1,0.993383688976657
M0_S4,2,2,0.9933836889767116
M0_S4,2,3,0.9933836889767259
M0_S4,2,4,0.9933836889767045
M0_S4,3,0,0.9729057515244529
M0_S4,3,1,0.972905751524561
M0_S4,3,2,0.9729057515245763
M0_S4,3,3,0.9729057515244975
M0_S4,3,4,0.9729057515245977
M0_S4,4,0,0.9477829878361206
M0_S4,4,1,0.9477829878361891
M0_S4,4,2,0.9477829878361269
M0_S4,4,3,0.9477829878361157
M0_S4,4,4,0.9477829878361237
M0_S4,5,0,0.9880976154265444
M0_S4,5,1,0.9880976154265633
M0_S4,5,2,0.9880976154265905
M0_S4,5,3,0.9880976154265695
M0_S4,5,4,0.9880976154265679
M0_S4,7,0,0.9889036189364651
M0_S4,7,1,0.9889036189364534
M0_S4,7,2,0.9889036189364429
M0_S4,7,3,0.9889036189364436
M0_S4,7,4,0.9889036189364369
fullM3,1,0,1.119308390406042
fullM3,1,1,1.367936761320812
fullM3,1,2,1.002397466245839
fullM3,1,3,1.0032265182894977
fullM3,1,4,1.0090900944211914
fullM3,2,0,1.0412169298623009
fullM3,2,1,1.0409699414306302
fullM3,2,2,1.0327976972769481
fullM3,2,3,1.0730833054586453
fullM3,2,4,1.0267064131975916
fullM3,3,0,1.0102627778584654
fullM3,3,1,1.0450981128587846
fullM3,3,2,1.010072086367225
fullM3,3,3,1.004319832492095
fullM3,3,4,1.2149145380660233
fullM3,4,0,1.0355199069108758
fullM3,4,1,1.0264590925627672
fullM3,4,2,1.0333406169232262
fullM3,4,3,1.0658676848704245
fullM3,4,4,1.0255669896821975
fullM3,5,0,1.1235900632299263
fullM3,5,1,1.0364307668868407
fullM3,5,2,1.0229756483989902
fullM3,5,3,1.0224078674291175
fullM3,5,4,1.0372749902448175
fullM3,7,0,1.012570353468162
fullM3,7,1,1.0116824612399902
fullM3,7,2,1.0170529078788038
fullM3,7,3,1.0202160533479647
fullM3,7,4,1.0201032773694738
