member,half,step,abs_diff_max_over_dims
0,0,0,5.383930909708123e-07
0,0,1,8.91462288737932e-07
0,0,2,1.2985285097744104e-06
0,0,3,1.1238684796133214e-06
0,0,4,1.0424968629463294e-06
0,0,5,1.651645372691135e-06
0,0,6,2.370202484947015e-06
0,0,7,3.379758045207737e-06
0,0,8,4.478232322968623e-06
0,0,9,5.383186776786175e-06
0,0,10,6.336683155083733e-06
0,0,11,7.3409518264178075e-06
0,0,12,8.278284550078396e-06
0,0,13,9.168642213674971e-06
0,0,14,9.998343004857801e-06
0,0,15,1.0744463629697165e-05
0,0,16,1.1413871951360122e-05
0,0,17,1.2064162288494273e-05
0,0,18,1.2659755382671278e-05
0,0,19,1.3243468525825364e-05
0,0,20,1.3809409248333182e-05
0,0,21,1.4262516392804514e-05
0,0,22,1.4554999988369843e-05
0,0,23,1.4840015507777693e-05
0,0,24,1.5263732075165848e-05
0,0,25,1.614388456006033e-05
0,0,26,1.7549786100357068e-05
0,0,27,1.85696179042516e-05
0,0,28,1.636313155373159e-05
0,0,29,1.2310749902599838e-05
0,0,30,9.475355482457815e-06
0,0,31,6.904226268034108e-06
0,0,32,5.649434255516894e-06
0,0,33,1.1276536172388774e-05
0,0,34,1.650619578619228e-05
0,0,35,1.898407227685084e-05
0,0,36,2.1890275441194262e-05
0,0,37,2.3613433649316562e-05
0,0,38,2.5702091502211033e-05
0,0,39,2.1250597984412423e-05
0,0,40,5.966057669670732e-06
0,0,41,2.6243174153783855e-06
0,0,42,2.070799449915839e-06
0,0,43,3.738266871167184e-06
0,0,44,1.931726553294766e-05
0,0,45,2.0081037336083796e-05
0,0,46,2.0392044958850164e-05
0,0,47,2.1499875242803057e-05
0,0,48,2.29872192436531e-05
0,0,49,2.4513302994577657e-05
0,0,50,2.6269065761752586e-05
0,0,51,2.8183891095601155e-05
0,0,52,2.918348597980014e-05
0,0,53,2.5113233331097717e-05
0,0,54,1.3162910115660509e-05
0,0,55,2.9336661444279155e-06
0,0,56,1.4662220122751979e-06
0,0,57,1.6171760062189122e-06
0,0,58,1.7436786255542458e-05
0,0,59,2.734439240992259e-05
0,0,60,2.6798959524843013e-05
0,0,61,2.740715284677009e-05
0,0,62,2.8277833041823186e-05
0,0,63,2.957792307922702e-05
0,0,64,3.0684804214864414e-05
0,0,65,3.177156148792548e-05
0,0,66,3.3418051309741514e-05
0,0,67,3.5338794137196317e-05
0,0,68,3.044574190314009e-05
0,0,69,2.4567454991242244e-05
0,0,70,2.512557412037708e-05
0,0,71,3.444757022075251e-05
0,0,72,3.395410931261722e-05
0,0,73,3.361638298282621e-05
0,0,74,3.317763967336518e-05
0,0,75,3.18267595333932e-05
0,0,76,3.103760861278282e-05
0,0,77,3.35492625194167e-05
0,0,78,3.6334014760885935e-05
0,0,79,3.936596804354764e-05
0,0,80,4.35298813470375e-05
0,0,81,4.667223557452971e-05
0,0,82,4.783242168349133e-05
0,0,83,3.814160075110706e-05
0,0,84,1.8859513144953155e-05
0,0,85,1.4055778649879613e-05
0,0,86,2.155410388038348e-05
0,0,87,3.640710605234965e-05
0,0,88,3.5871391788067086e-05
0,0,89,3.629136738014793e-05
0,0,90,3.803744968600142e-05
0,0,91,4.0309571508689857e-05
0,0,92,4.248860458311299e-05
0,0,93,4.568382931902093e-05
0,0,94,5.1569015843799804e-05
0,0,95,5.534078907443174e-05
0,0,96,5.651417780194734e-05
0,0,97,3.103206485377541e-05
0,0,98,2.6747633480539434e-05
0,0,99,3.95602125058403e-05
0,1,100,1.0040035900438227e-06
0,1,101,1.9736560581407048e-06
0,1,102,3.127263823010651e-06
0,1,103,4.474172962787293e-06
0,1,104,5.923821503550641e-06
0,1,105,7.09934675580115e-06
0,1,106,8.106013053676975e-06
0,1,107,8.69132074510226e-06
0,1,108,8.438328325865996e-06
0,1,109,8.890498797597957e-06
0,1,110,6.910610706345466e-06
0,1,111,3.3929722187409084e-06
0,1,112,1.5608205745643033e-06
0,1,113,2.381989911093285e-06
0,1,114,9.467026416132285e-06
0,1,115,1.0425305386085881e-05
0,1,116,1.1657181804736183e-05
0,1,117,1.2559569810832727e-05
0,1,118,1.3288002752798178e-05
0,1,119,1.3909533067124613e-05
0,1,120,1.4791930939228592e-05
0,1,121,1.5842127216725288e-05
0,1,122,1.674803624496235e-05
0,1,123,1.726379255195809e-05
0,1,124,1.8769049511035973e-05
0,1,125,1.730300787761152e-05
0,1,126,1.2407111151802042e-05
0,1,127,8.197735071213685e-06
0,1,128,5.911740696973311e-06
0,1,129,1.784134704152507e-05
0,1,130,1.790875299789718e-05
0,1,131,1.9685615583853178e-05
0,1,132,2.1525044725745346e-05
0,1,133,2.2365047341210698e-05
0,1,134,2.2913769413435148e-05
0,1,135,2.3743167362422213e-05
0,1,136,2.4721008497152752e-05
0,1,137,2.4660767119044635e-05
0,1,138,1.4510923700861156e-05
0,1,139,3.866545663644416e-06
0,1,140,2.438466607898593e-06
0,1,141,2.096291571440645e-06
0,1,142,6.346178532901092e-06
0,1,143,2.4910112922826855e-05
0,1,144,2.3922071176851745e-05
0,1,145,2.5651906759183163e-05
0,1,146,2.7714647937493453e-05
0,1,147,2.913277191485264e-05
0,1,148,3.05720259321518e-05
0,1,149,3.2131277546199044e-05
0,1,150,3.2500674442381694e-05
0,1,151,3.342502319103602e-05
0,1,152,2.6060082678469598e-05
0,1,153,6.538149862400644e-06
0,1,154,4.038373985881805e-06
0,1,155,9.606452572086255e-06
0,1,156,2.383414997275679e-05
0,1,157,3.5303729764901703e-05
0,1,158,3.103078850941188e-05
0,1,159,3.0653216797738025e-05
0,1,160,3.3410771274500206e-05
0,1,161,3.591887704823549e-05
0,1,162,3.7907501770462204e-05
0,1,163,4.00219158871451e-05
0,1,164,4.050631339902466e-05
0,1,165,4.0052417932923134e-05
0,1,166,3.4923124553110085e-05
0,1,167,1.8199559197462634e-05
0,1,168,1.6232554620909667e-05
0,1,169,2.72841403670121e-05
0,1,170,4.094355636929947e-05
0,1,171,3.575984462633741e-05
0,1,172,3.5163166769436316e-05
0,1,173,3.675807674063947e-05
0,1,174,3.909733808349358e-05
0,1,175,4.0999815817066576e-05
0,1,176,4.296179103713271e-05
0,1,177,4.549911138962415e-05
0,1,178,4.740025576088769e-05
0,1,179,4.791591669173201e-05
0,1,180,5.098349965315663e-05
0,1,181,3.3401612020256266e-05
0,1,182,2.6641650017200647e-05
0,1,183,3.703287678114009e-05
0,1,184,4.6919877948692346e-05
0,1,185,4.4489744629228056e-05
0,1,186,4.4621004382960905e-05
0,1,187,4.637593838108245e-05
0,1,188,4.9361751342402727e-05
0,1,189,5.1499791819509255e-05
0,1,190,5.092684532925773e-05
0,1,191,5.219116206367502e-05
0,1,192,5.415282563570045e-05
0,1,193,5.476250060709731e-05
0,1,194,5.9588393553688945e-05
0,1,195,5.653471804833998e-05
0,1,196,5.8565111904052e-05
0,1,197,6.96323951761002e-05
0,1,198,6.387616648373395e-05
0,1,199,5.788339973289425e-05
1,0,0,2.7500278743097795e-07
1,0,1,6.72031115867e-07
1,0,2,1.1302624676190476e-06
1,0,3,1.5175017478163966e-06
1,0,4,1.6926901653668835e-06
1,0,5,1.8836935544719324e-06
1,0,6,2.107358081371302e-06
1,0,7,2.292161433992135e-06
1,0,8,2.626613154976809e-06
1,0,9,2.684605910907578e-06
1,0,10,2.7341023338678383e-06
1,0,11,1.9266799258232936e-06
1,0,12,1.5838706102222488e-06
1,0,13,1.7725737948559583e-06
1,0,14,1.9934088579809384e-06
1,0,15,6.153317761992128e-07
1,0,16,7.879933097143521e-07
1,0,17,1.0168747899275132e-06
1,0,18,1.7050822537223453e-06
1,0,19,1.7271826723008754e-06
1,0,20,2.008113640539211e-06
1,0,21,2.3823956141200142e-06
1,0,22,3.7197839293234836e-06
1,0,23,5.183001705155732e-06
1,0,24,6.435543393745746e-06
1,0,25,7.270713084928104e-06
1,0,26,7.859250112485228e-06
1,0,27,8.77092519102618e-06
1,0,28,9.824264088464929e-06
1,0,29,1.0687392681063557e-05
1,0,30,1.1231158643543182e-05
1,0,31,1.153888034854944e-05
1,0,32,1.2481067083403019e-05
1,0,33,1.375226761490822e-05
1,0,34,1.5022525158059352e-05
1,0,35,1.5952841625921366e-05
1,0,36,1.6360958182470853e-05
1,0,37,1.6402741958021494e-05
1,0,38,1.6234370855183755e-05
1,0,39,1.5924975150571896e-05
1,0,40,1.570733473421626e-05
1,0,41,1.5966326004868137e-05
1,0,42,1.6808328587192278e-05
1,0,43,1.7853179245630457e-05
1,0,44,1.891246219898335e-05
1,0,45,1.9927744839165484e-05
1,0,46,2.1167193825721853e-05
1,0,47,2.2858304834727505e-05
1,0,48,2.439018210953492e-05
