member,half,step_range,max_abs,max_rel,argmax_step
0,0,0-100,5.651418e-05,6.375764e-03,96
0,1,100-200,6.963240e-05,7.299213e-04,197
1,0,0-100,4.856795e-05,1.352589e-02,94
1,1,100-200,5.646870e-05,5.071660e-03,192
2,0,0-100,5.626565e-05,3.703488e-03,96
2,1,100-200,6.239342e-05,1.990178e-03,198
3,0,0-100,6.193101e-05,3.075086e-03,84
3,1,100-200,5.646370e-05,3.925022e-04,195
4,0,0-100,5.290809e-05,2.955649e-04,87
4,1,100-200,5.212220e-05,3.333053e-03,199
5,0,0-100,6.150936e-05,1.775992e-03,99
5,1,100-200,5.630194e-05,1.357431e-03,198
6,0,0-100,5.844680e-05,2.121245e-03,99
6,1,100-200,5.584678e-05,3.837817e-03,199
7,0,0-100,5.131667e-05,1.452089e-03,88
7,1,100-200,5.494688e-05,1.621972e-03,199
8,0,0-100,5.233937e-05,3.863338e-03,93
8,1,100-200,5.597096e-05,2.023299e-01,192
9,0,0-100,5.949676e-05,1.430387e-02,96
9,1,100-200,6.109851e-05,1.251578e-02,193
