case,cond_R_BtPB,dim,rel_residual,rho_design,seed,variant
1,1.2066459284163153,1030,4.317866379527297e-12,0.9997731758107491,0,fullM3
1,1.1831872025084404,1030,4.0418279450731585e-11,0.9998269592604841,1,fullM3
1,1.0909819163259484,1030,1.038373520488922e-12,0.9997642114928481,2,fullM3
1,1.2295962115470709,1030,5.860272104892549e-12,0.99983724404125,3,fullM3
1,1.1519930989099243,1030,1.6719539244368512e-13,0.9997381555283267,4,fullM3
2,1.1834119494515167,1030,1.4706292726628167e-13,0.9995101501891119,0,fullM3
2,1.247182246739992,1030,1.5850143748309648e-12,0.9998653396571722,1,fullM3
2,1.3097574527699904,1030,2.8226383170160164e-12,0.999794028378294,2,fullM3
2,1.0800895174137501,1030,5.16322073270953e-13,0.9996185001680338,3,fullM3
2,1.1984246645468033,1030,3.278977151137643e-13,0.9998349775715895,4,fullM3
3,1.1849078009665353,1030,3.569175236280892e-12,0.9996321156095728,0,fullM3
3,1.2065386884141407,1030,3.897501212828571e-12,0.9998920382064123,1,fullM3
3,1.2017816138031001,1030,2.2546338359441334e-13,0.9993144374509082,2,fullM3
3,1.2495589241540597,1030,4.783383969794839e-13,0.9997536894408446,3,fullM3
3,1.2863494962811357,1030,1.3706347052049052e-12,0.9999020760113769,4,fullM3
4,1.2037148837213851,1030,1.145813360079679e-11,0.9997804386515623,0,fullM3
4,1.2214288868692533,1030,1.4995841471437723e-13,0.9998105231097985,1,fullM3
4,1.298595993984938,1030,6.320395565463744e-12,0.9992692689798711,2,fullM3
4,1.0966266552794086,1030,7.984159163230379e-12,0.9996307950657283,3,fullM3
4,1.222178298942699,1030,2.528020340975979e-12,0.9997697937566112,4,fullM3
5,1.1090583013725803,1030,2.8445820024868364e-11,0.9995129190291582,0,fullM3
5,1.0827872141973434,1030,3.157573301526096e-13,0.9996916049094025,1,fullM3
5,1.07939502742761,1030,1.2887792055530533e-12,0.9993618383128868,2,fullM3
5,1.1714699957474364,1030,1.6584038010729195e-12,0.9998577300460797,3,fullM3
5,1.1235317021434754,1030,8.051193351176848e-14,0.9996743377506885,4,fullM3
7,1.151098978283054,1030,3.865555511698654e-13,0.9996769871590202,0,fullM3
7,1.1018329556683946,1030,8.121435727422873e-12,0.9998149314723772,1,fullM3
7,1.0564052309991216,1030,3.8725130868922127e-13,0.9995145905911227,2,fullM3
7,1.329644412976523,1030,1.409677146653514e-11,0.9995384821594212,3,fullM3
7,1.099954260969891,1030,2.885868728607264e-13,0.9995836500152432,4,fullM3
