date,kernel_slug,accelerator,minutes
2026-08-07,s4dpc-smoke,T4,0.72
2026-08-07,s4dpc-smoke,T4,1.32
2026-08-07,s4dpc-smoke,T4,2.39
2026-08-07,s4dpc-diagnose,T4,64.70
2026-08-07,s4dpc-smoke-control,T4,192.70
2026-08-12,s4dpc-gauge-rankscan,T4,1.16
2026-08-12,s4dpc-gauge-fullm3,T4,1.02
2026-08-12,s4dpc-gauge-fullm3,T4,1.28
2026-08-12,s4dpc-variant-redundancy,T4,1.04
2026-08-12,s4dpc-variant-redundancy,T4,60.93
2026-08-12,s4dpc-train-diagnose,T4,5.28
2026-08-12,s4dpc-train-diagnose,T4,6.54
2026-08-12,s4dpc-jit-pilot,T4,1.77
2026-08-12,s4dpc-all-cases,T4,18.23
2026-08-12,s4dpc-all-cases-10seeds,T4,52.27
2026-08-12,s4dpc-pilot-controller,T4,6.90
2026-08-12,s4dpc-pilot-ensemble,T4,1.28
2026-08-12,s4dpc-controller-oracles-m0-m1,T4,0.22
2026-08-13,s4dpc-controller-oracles-m0-m1,T4,50.39
2026-08-13,s4dpc-pilot-surrogates,T4,0.93
2026-08-13,s4dpc-pilot-surrogates,T4,1.43
2026-08-13,s4dpc-controller-saturation,T4,25.60
2026-08-13,s4dpc-controller-saturation-phase2,T4,13.34
2026-08-13,s4dpc-pilot-surrogates,T4,1.32
2026-08-13,s4dpc-controller-oracles-final,T4,63.64
2026-08-13,s4dpc-controller-surrogates-m3-m6,T4,188.80
2026-08-13,s4dpc-verify-m3-case3,T4,14.90
2026-08-13,s4dpc-task2b-m6-gap,T4,17.98
2026-08-13,s4dpc-task2a-m3-horizon,T4,33.00
2026-08-13,s4dpc-openloop-warmstart,T4,10.33
2026-08-13,s4dpc-m3-spurious-modes,T4,6.37
2026-08-13,s4dpc-controller-m0-s4-exact-realization,T4,90.01
2026-08-13,s4dpc-case24-instability-check,T4,51.46
2026-08-13,s4dpc-identify-kstep,T4,316.38
2026-08-13,s4dpc-controller-m0-s4-partc-v2,T4,243.84
2026-08-13,s4dpc-horizon-sweep-oracle,T4,139.56
2026-08-13,s4dpc-horizon-sweep-surrogate,T4,132.71
2026-08-13,s4dpc-balanced-truncation,T4,43.46
2026-08-13,s4dpc-identify-kstep-matched-budget,T4,142.05
2026-08-14,s4dpc-horizon-sweep-surrogate-v2,T4,621.51
2026-08-15,s4dpc-nu-gap-export,T4,389.70
2026-08-16,s4dpc-n1000-case3,T4,157.05
2026-08-16,s4dpc-n1000-case3,T4,156.34
2026-08-18,s4dpc-dimension-sweep,T4,2.49
2026-08-18,s4dpc-dimension-sweep,T4,3.01
