variant,case,seed,recorded_teacher_mse,recomputed_teacher_mse,mse_sanity_rel_err,skip_alone_rel_err_vs_AB_true,contamination_ratio_median,contamination_ratio_max,mse_branch_zeroed,branch_zeroing_mse_ratio,max_decomposition_residual
M3,1,0,1.9232638509127502e-06,1.923263850800675e-06,5.8273421175552e-11,1.0609734244580376,0.948667360379671,0.948667360379671,10.79020861636264,5610363.139654792,2.7755575615628914e-17
M3,1,1,4.014777726083144e-05,4.014777726080389e-05,6.862718085060256e-13,0.8989455587330558,0.6843741268316589,0.6843741268316589,5.4117862674896005,134796.65965899202,2.943923360032078e-17
M3,1,2,2.3248718677662337e-06,2.3248718677682382e-06,8.621995463359682e-13,0.9891507674438629,0.7741760344180223,0.7741760344180223,3.920925851324517,1686512.6657876468,3.179800655392251e-17
M3,1,3,2.7502641593041317e-06,2.7502641592762868e-06,1.0124459316885957e-11,0.8670626574752669,0.7560383662256391,0.7560383662256391,5.0194268778649205,1825070.8249005973,4.163336342344337e-17
M3,1,4,1.044558940217064e-05,1.0445589402075592e-05,9.099434362549465e-12,0.7764280207621035,0.6442361421882739,0.6442361421882739,4.748090750694636,454554.6036637402,1.100772263834629e-17
M3,2,0,6.158046219675461e-05,6.158046219648413e-05,4.392323917878551e-12,1.364990424159694,0.8832741834971204,0.8832741834971204,39.600656618424246,643071.7666923455,1.993045536433795e-17
M3,2,1,1.5146435820535216e-05,1.514643582039125e-05,9.504883495557752e-12,1.0736553039177248,0.8272407055163957,0.8272407055163957,25.134928436681047,1659461.5878438246,5.250225931237847e-17
M3,2,2,6.30963056616383e-05,6.30963056618553e-05,3.43923566597828e-12,1.1445807457583044,0.8790642889570511,0.8790642889570511,5.310590452136593,84166.42458588659,6.869154506741516e-17
M3,2,3,8.853882527948554e-05,8.853882527937373e-05,1.2628171729704852e-12,0.8815399500506528,0.7015902673475568,0.7015902673475568,6.9926737052085315,78978.61399384939,3.7367087251761353e-17
M3,2,4,6.199397781442335e-06,6.1993977818402116e-06,6.417990913646351e-11,1.1908903280743457,0.756092063567039,0.756092063567039,21.133948521073666,3409032.5003794683,3.1524751290996645e-17
M3,3,0,7.498291945640385e-06,7.498291945697362e-06,7.59871257027842e-12,0.9596596454570093,0.8985114123616879,0.8985114123616879,8.846658539654072,1179823.1655584476,6.128265163612872e-17
M3,3,1,3.2354165108069674e-06,3.2354165110866615e-06,8.644763043564744e-11,0.9862736271271608,1.009712716018469,1.009712716018469,7.620687565208891,2355396.1411445513,1.2118257228641695e-16
M3,3,2,8.743497524162367e-06,8.743497524195425e-06,3.780867069966697e-12,1.0618479481467331,0.8417196048233091,0.8417196048233091,5.975150314018548,683382.1702909878,1.1464934308770758e-16
M3,3,3,8.116954362782625e-06,8.116954362742606e-06,4.9302874991473446e-12,1.1902613756548817,0.8230532578793616,0.8230532578793616,20.406240015641774,2514026.7030830993,5.805495157760157e-17
M3,3,4,8.742279686447987e-07,8.742279686812982e-07,4.1750547956862387e-11,0.9153854255553237,0.7859824469196756,0.7859824469196756,7.089341691460066,8109259.764536888,3.1031676915590914e-17
M3,4,0,8.48063986758616e-06,8.480639867585988e-06,2.037519856258909e-14,1.0296155797535294,0.8756018633330931,0.8756018633330931,59.56028182705598,7023088.205254706,2.8609792490763984e-17
M3,4,1,0.00024466238867663963,0.00024466238867536905,5.193182870518902e-12,1.0934290555174568,0.7392525726640374,0.7392525726640374,65.76358693121631,268793.2022869069,4.757065991401635e-17
M3,4,2,6.56387341964084e-06,6.563873419638937e-06,2.8996339673237577e-13,1.0872902894511713,0.6647283416445846,0.6647283416445846,24.164925729097643,3681503.9206570955,4.163336342344337e-17
M3,4,3,0.00014007459522533827,0.00014007459522382025,1.0837215444451062e-11,1.130841420095366,0.8085466047220815,0.8085466047220815,54.7633748213176,390958.6512373149,1.18774731498903e-16
M3,4,4,1.4399212361247138e-05,1.43992123612491e-05,1.3623858421038323e-13,1.0871422270243518,1.0217588378571774,1.0217588378571774,97.04324982922184,6739483.201899492,2.7755575615628914e-17
M3,5,0,2.3933150837624324e-06,2.393315083790942e-06,1.1912287959318624e-11,1.0882328067231486,0.8395559716136172,0.8395559716136172,9.495299981813478,3967425.787821132,6.639709341020816e-17
M3,5,1,0.0004218588114057352,0.00042185881140539605,8.039145571556863e-13,1.143302119703951,1.044043773614779,1.044043773614779,42.26010706443892,100175.94968243531,8.326672684688674e-17
M3,5,2,2.5093283646426095e-05,2.5093283646418014e-05,3.2202618161361743e-13,0.9609939543634151,0.7620982204314984,0.7620982204314984,15.46369756844213,616248.4665752194,4.277421474636178e-17
M3,5,3,4.502914489343399e-06,4.502914489399441e-06,1.2445770627404958e-11,1.1369194205192426,0.8831819446810517,0.8831819446810517,29.61587363751592,6577045.535116484,3.925231146709438e-17
M3,5,4,3.3718947920249756e-06,3.3718947920290643e-06,1.2125609749351348e-12,1.0007485178065,0.688694517655992,0.688694517655992,5.890487573786774,1746936.9411262462,3.3993498887762956e-17
M3,7,0,1.8187420700467287e-06,1.8187420700320174e-06,8.088705083692661e-12,0.9363912502440178,0.7364385301775795,0.7364385301775795,3.8899033865452814,2138787.8196916636,4.3885418357208765e-17
M3,7,1,1.5519444989427692e-06,1.5519444989324282e-06,6.663254867425171e-12,1.0574454314648365,0.9821984808807501,0.9821984808807501,6.091315234159546,3924956.877227065,6.206335383118183e-17
M3,7,2,1.0613815526045985e-06,1.0613815526072099e-06,2.460380595438751e-12,1.1437420643296135,0.7966885350206873,0.7966885350206873,5.487450971484345,5170102.078752739,2.3273757686693185e-17
M3,7,3,7.91858374917963e-07,7.918583749179208e-07,5.335015652096237e-14,1.0302239457076678,0.918062418153958,0.918062418153958,5.7625603596803145,7277261.366690258,5.594315114139762e-17
M3,7,4,2.7303659695831244e-06,2.730365969578587e-06,1.6618854574773675e-12,1.0167399531438883,0.8739607658923788,0.8739607658923788,5.642416772934499,2066542.300849643,8.554842949272357e-17
M4,1,0,2.3733458874630742e-05,2.370162474050259e-05,0.0013413187810640444,0.7946266965142067,0.5435812660972325,0.8632687737178585,3.1523990113755964,133003.49853183737,3.024593730708204e-17
M4,1,1,1.1410195384087274e-06,1.140883934306577e-06,0.0001188446802055484,0.4114038847368469,0.15859441912605082,0.2922651616399974,0.03803272927525963,33336.1949726952,8.011718537728397e-17
M4,1,2,8.005558811419178e-07,8.006142790363199e-07,7.294668089724316e-05,0.6176782415436346,0.1842626081422942,0.33246372970608584,0.21839937139602195,272789.7529618183,3.1986720415755645e-17
M4,1,3,5.584842597272655e-07,5.720164654106432e-07,0.024230236479692604,0.918371803318719,0.43854556094578345,0.6514114036893422,1.816084372245421,3174881.28762461,4.163336342344337e-17
M4,1,4,1.3779656910628546e-05,1.3766996604100658e-05,0.0009187679061967353,0.6024351370420568,0.4762763258041721,0.6903111290718521,1.2608963468270973,91588.33862510904,3.5381555418772973e-17
M4,2,0,1.0502132681722287e-05,1.0533983025429589e-05,0.003032750077775489,1.299621422427186,0.610942692762714,0.9843016287776614,11.779867592701114,1118272.885409431,2.5485679777957566e-16
M4,2,1,1.3960560636405717e-06,1.3976209084824626e-06,0.0011209040114120927,1.0601726404701113,0.5103427385835673,0.9442036198328928,9.414408450542881,6736024.334928596,6.834017936133213e-17
M4,2,2,1.545561872262624e-06,1.5417066254651447e-06,0.00249439822932191,1.0214685679228699,0.4773321623696717,0.5967450455067438,1.0721832997968004,695452.2229372364,3.1031676915590914e-17
M4,2,3,3.2881594052014407e-06,3.284110961212055e-06,0.0012312188949786212,0.7368336691075451,0.32663586153520646,0.8202812215159544,1.3726109098421178,417955.09532221564,5.551115123125783e-17
M4,2,4,6.737737749062944e-06,6.664867256270477e-06,0.010815275914026406,1.1287757004646566,0.4478665650165939,0.7492167365140837,11.656599584329683,1748962.0027109853,1.5515838457795457e-17
M4,3,0,2.871834794859751e-06,2.8902263158759245e-06,0.006404101325428638,0.7652582022481493,0.4033787409769238,0.7944082709335134,3.8087728266652614,1317811.2751045788,1.1123893155135927e-16
M4,3,1,6.373516953317448e-05,6.36867610937856e-05,0.0007595247607161582,0.7433028571755609,0.5212316433416195,0.7778895470147424,3.151168582096652,49479.17790098036,5.928593550334434e-17
M4,3,2,3.981430381827522e-06,3.982132623495579e-06,0.00017637924080312738,0.9812749866000792,0.734200947396201,1.1686871451842087,3.317627671522055,833128.3724573163,5.561946577567963e-17
M4,3,3,1.676484089330188e-06,1.6760672727905922e-06,0.00024862540733228816,0.8847663893073276,0.41409190426350057,0.6640286147434797,5.333196549285558,3181970.4589816234,1.015665410685238e-16
M4,3,4,6.950485840206966e-07,6.964883326803436e-07,0.002071436001377611,0.7127151342741105,0.3985947936285537,0.5638680648870683,3.8399999825732247,5513373.020615422,1.993045536433795e-17
M4,4,0,0.0010337057756260037,0.0010335888645939871,0.00011309894437401941,0.8435825948847689,0.6470033333598063,1.0824557803065704,33.801599454934276,32703.13817497654,6.546139416680338e-17
M4,4,1,0.00021641244529746473,0.00021667950161553717,0.0012340155285679862,1.0204294006386916,0.47044927592687513,1.0154616357199482,35.597396026214646,164285.941959459,5.551115123125783e-17
M4,4,2,4.02621844841633e-06,4.027613710905037e-06,0.00034654415963345853,1.0273932370761178,0.31660196947163777,0.4773852080708629,22.493640306772132,5584855.430864453,6.206335383118183e-17
M4,4,3,5.942519692325732e-06,5.910449966385295e-06,0.005396654550737419,0.9710408631212838,0.607342905058722,0.9205069424294073,41.15099057961911,6962412.475134474,1.2412670766236366e-16
M4,4,4,5.41519557373249e-06,5.401824470647822e-06,0.00246918193491046,1.0695887512125783,0.8445483361664561,1.3487675758163542,73.7327210549623,13649595.882948004,5.887846720064156e-17
M4,5,0,8.146128675434738e-05,8.128745896907417e-05,0.002133869868731714,1.0589720277457226,0.3682585981008718,0.5574088235908128,3.587422931453347,44132.551034941105,3.122502256758253e-17
M4,5,1,3.956490672862856e-06,3.943122286895293e-06,0.0033788493574002936,1.0216622652511915,0.6093942011702604,0.7376692025388613,22.141819182384708,5615301.167800853,3.9557781533026204e-17
M4,5,2,6.955526259844191e-06,6.949397873307705e-06,0.0008810816475335218,0.9030647875748564,0.49369926766261624,0.8942968771073717,12.496338092769387,1798190.0476251626,3.179800655392251e-17
M4,5,3,5.9521735238377005e-05,5.9536562396553624e-05,0.00024910493817490494,1.0180856669756504,0.5012090018368689,0.6405324079090842,11.413113654838924,191699.23817266937,4.163336342344337e-17
M4,5,4,1.5442111589436536e-06,1.5443950215104134e-06,0.0001190656897503602,0.9477061022632034,0.3269712684262589,0.6919735576747245,2.5581303848677686,1656396.4201114331,1.0007415106216802e-16
M4,7,0,5.637631375066121e-07,5.642336559924595e-07,0.0008346031418947039,0.8158903102757443,0.2165485083589725,0.32673968059586417,0.41947662906693434,743444.891335125,1.4304896245381992e-17
M4,7,1,2.7043104182666866e-06,2.7027330214684353e-06,0.0005832898426144288,0.7253897233211977,0.3996061397287357,0.5397774588683156,0.9912253806777686,366749.27667817555,8.804469334467935e-17
M4,7,2,2.9742361220996827e-05,2.974461102309673e-05,7.56430225289746e-05,0.873371053126669,0.346622440888562,0.4435332082946388,1.2896371639350912,43357.00214515114,2.4037033579794548e-17
M4,7,3,1.6322460396622773e-06,1.6426725826478718e-06,0.006387850074215409,1.0296007419794142,0.4401905542944219,0.612111613337378,2.5478511775718267,1551040.1795742344,2.8609792490763984e-17
M4,7,4,4.234974312566919e-06,4.256629973057784e-06,0.0051135281804669825,0.8250652518002304,0.4804297912531128,0.6186249425209115,2.5484714489404903,598706.3627966176,3.469446951953614e-17
M5,1,0,1.5456257642654236e-06,1.5326406809759883e-06,0.008401181961149964,0.7920089748789786,0.13007468796573313,0.25070779724768516,0.5864527304794985,382642.0228556405,3.2487068343022356e-16
M5,1,1,4.053367320011603e-06,4.046456608133786e-06,0.0017049310689654415,0.6948683855018616,0.10874583535172558,0.18842455440238604,0.19522486139342954,48245.88035888186,3.1401849173675503e-16
M5,1,2,8.194177780751488e-07,8.207565032266849e-07,0.0016337516555728067,0.7880547023890611,0.0641975173814012,0.08907131538148849,0.16829602594750634,205049.88420545554,3.1401849173675503e-16
M5,1,3,4.4863799075756106e-07,4.3633885504586485e-07,0.02741438746845342,0.6752433072086828,0.16827444437588712,0.2596523487906977,0.5101493975771113,1169158.7665817384,2.498001805406602e-16
M5,1,4,2.211362516391091e-05,2.223776472011469e-05,0.005613713503942951,0.5485367367006909,0.07606071681599624,0.13909354105735872,0.3817673604586873,17167.524041360502,4.014976168611859e-16
M5,2,0,8.171052286343183e-06,8.533458305572901e-06,0.04435242934810623,1.1939131467947204,0.13392497109767126,0.21236290639434935,5.373797025592883,629732.6163864239,2.603703785810335e-16
M5,2,1,2.041935113084037e-05,2.0431991617919296e-05,0.0006190445033209456,0.894692056624972,0.1956255159946661,0.38906743177427316,2.439671124584564,119404.46972604081,4.52041112178401e-16
