arm,seed,description,teacher_mse_train_final,teacher_mse,free_run_rmse,jx_err_mean,jx_err_max,ju_err_mean,ju_err_max,equilibrium_drift,homogeneity_flatness,jx_far_from_origin,jx_at_origin,jx_origin_spike_ratio,directional_asymmetry_at_smallest_eps,directional_asymmetry_at_largest_eps,sigma_jx_err_correlation
arm_0,0,"zero branch (skip only) - exactly linear, no memory",2.1053251663967706e-14,2.1053251689199586e-14,1.6378605419410434e-07,2.6607004155465575e-08,2.6607004155465575e-08,3.843666496194942e-08,3.843666496194942e-08,-1.1025825141786072e-08,9.437245018196846e-13,3.0000000798210125,3.0000000798210125,1.0,0.0,0.0,
arm_0,1,"zero branch (skip only) - exactly linear, no memory",6.834277232794612e-17,6.834277515200956e-17,1.1390505316990275e-08,6.154445841843881e-10,6.154445841843881e-10,4.099165451521003e-10,4.099165451521003e-10,2.0967735880894622e-09,2.4843349792983893e-12,2.9999999981536662,2.9999999981536662,1.0,0.0,0.0,
arm_0,2,"zero branch (skip only) - exactly linear, no memory",3.2624851142982035e-17,3.262484901337477e-17,8.088040944932323e-09,2.8126804589116244e-10,2.8126804589116244e-10,3.257203395889974e-10,3.257203395889974e-10,-5.861979124333061e-09,2.6869483710269043e-12,3.000000000843804,3.000000000843804,1.0,0.0,0.0,
arm_0,3,"zero branch (skip only) - exactly linear, no memory",8.07898300776469e-10,8.07898300767383e-10,3.836475589573423e-05,4.056306391516293e-07,4.0563063915162917e-07,9.911111598093214e-07,9.911111598093214e-07,-5.991734187693609e-07,2.2866776594557613e-12,2.9999987831080825,2.9999987831080825,1.0,0.0,0.0,
arm_0,4,"zero branch (skip only) - exactly linear, no memory",5.584688332286423e-17,5.584688334544047e-17,8.842886244462427e-09,1.4223440203409154e-09,1.4223440203409154e-09,1.92034765866822e-09,1.92034765866822e-09,-1.3283135147368341e-09,1.8640070961605194e-12,3.000000004267032,3.000000004267032,1.0,0.0,0.0,
arm_0,5,"zero branch (skip only) - exactly linear, no memory",6.201749654638638e-17,6.201749512529134e-17,9.086713598639523e-09,1.4927317160129405e-09,1.4927317160129405e-09,2.07707273602864e-09,2.07707273602864e-09,-9.395410283108419e-10,2.560151079175474e-12,3.000000004478195,3.000000004478195,1.0,0.0,0.0,
arm_0,6,"zero branch (skip only) - exactly linear, no memory",4.415658891107988e-16,4.4156589362922855e-16,2.396342704057753e-08,3.3669490899039074e-09,3.366949089903907e-09,5.161333804792889e-09,5.161333804792889e-09,-5.066758901328683e-09,1.3381211960453184e-12,3.0000000101008473,3.0000000101008473,1.0,0.0,0.0,
arm_0,7,"zero branch (skip only) - exactly linear, no memory",8.419222870571858e-15,8.419222871754357e-15,1.0804211331812103e-07,1.7481081767319513e-08,1.7481081767319513e-08,2.3725104547622777e-08,2.3725104547622777e-08,-1.369425786656997e-08,6.793862168497309e-13,3.0000000524432453,3.0000000524432453,1.0,0.0,0.0,
arm_1,0,"linear branch, no LN, no memory - exactly linear",6.187430510101006e-29,6.269408103369838e-29,1.043896645055371e-14,1.4802973661668758e-16,1.4802973661668753e-16,3.3306690738754696e-16,3.3306690738754696e-16,-2.2898349882893854e-16,2.7561045569599055e-12,3.0000000000000004,3.0000000000000004,1.0,0.0,0.0,
arm_1,1,"linear branch, no LN, no memory - exactly linear",2.5506739171511347e-19,2.5506747434132364e-19,7.178477042665396e-10,5.079640412001631e-12,5.079640412001633e-12,4.637401573859279e-13,4.637401573859279e-13,5.207323183764601e-10,7.24164824943438e-12,2.999999999984761,2.999999999984761,1.0,0.0,0.0,
