arm,seed,teacher_mse_train_final,teacher_mse,jx_err_mean,jx_err_max
arm_0,0,2.0412987675612763e-17,2.0412988599982864e-17,9.055532620057722e-10,9.055532620057723e-10
arm_0,1,9.061693949857638e-16,9.061694098256355e-16,2.2216036417906554e-10,2.2216036417906557e-10
arm_0,2,3.3116384319163224e-17,3.311638485605068e-17,1.2657513555798996e-09,1.265751355579899e-09
arm_0,3,2.0522056463355867e-15,2.052205644879153e-15,5.066517427820827e-09,5.066517427820827e-09
arm_0,4,7.360522776528488e-15,7.360522766765211e-15,1.86358185179832e-08,1.86358185179832e-08
arm_0,5,1.3833632597351611e-17,1.3833633227315281e-17,7.362436586314895e-11,7.362436586314895e-11
arm_0,6,9.776838397033633e-16,9.776838329389177e-16,5.263255017003606e-10,5.263255017003606e-10
arm_0,7,2.875146294763249e-10,2.8751462947695733e-10,1.4862748824266228e-07,1.4862748824266228e-07
arm_5,0,1.1821270761541186e-07,1.1821270761546589e-07,0.001079886610676281,0.024185830311026724
arm_5,1,1.5206118227090576e-05,1.52061182273794e-05,0.2315044955421083,2.896656429818084
arm_5,2,7.377337947696903e-07,7.377337947739576e-07,0.11423678239079894,0.2982177425243993
arm_5,3,1.5000635048343251e-06,1.500063504834874e-06,0.19061971799194224,4.541655101948173
arm_5,4,1.0081618598583554e-06,1.0081618598201271e-06,0.11185856294346973,0.35585524793984846
arm_5,5,9.592179461865763e-07,9.592179461863188e-07,0.019126915366371896,0.1832625737863213
arm_5,6,2.600128231827255e-06,2.600128231830593e-06,0.0062088770771349285,0.12820754799979595
arm_5,7,2.6528455765561007e-05,2.6528455766303283e-05,0.2545125893202802,1.243608289531717
