label,cond,eff_n,seed,teacher_mse_train_final,jx_err_mean
reset_based_cond10,10.097102892451607,100.0,0,1.8261921168738299e-07,0.000667086532740866
reset_based_cond10,10.097102892451607,100.0,1,9.969179564407543e-06,0.023572244286471464
reset_based_cond10,10.097102892451607,100.0,2,3.3971030735215397e-08,4.629003153644599e-05
reset_based_cond10,10.097102892451607,100.0,3,3.355775581126555e-05,0.010597254800561838
reset_based_cond10,10.097102892451607,100.0,4,2.0635773397348042e-07,0.00026826185524864594
reset_based_cond10,10.097102892451607,100.0,5,1.0457603068079861e-07,9.271906361554429e-05
reset_based_cond10,10.097102892451607,100.0,6,1.344151124179893e-07,0.000158013806181175
reset_based_cond10,10.097102892451607,100.0,7,0.00012172604340375655,0.009580551025169436
native,156.02388494737758,100.0,0,6.838354530232223e-07,0.004680134420319
native,156.02388494737758,100.0,1,2.1729816573970965e-05,0.0264337866816436
native,156.02388494737758,100.0,2,2.1311782010190435e-05,0.0718590162694964
native,156.02388494737758,100.0,3,7.031916898120909e-06,0.3284720810041298
native,156.02388494737758,100.0,4,8.241843940507906e-06,0.0575204098678581
native,156.02388494737758,100.0,5,6.824808174819509e-05,0.4027089655599731
native,156.02388494737758,100.0,6,1.7731742234896642e-05,0.0918429752876144
native,156.02388494737758,100.0,7,0.0001038867418864,0.0643362487626426
eff_n>=80,107.77649150842272,80.00003066867437,0,7.864234299153554e-07,0.0012802496879918
eff_n>=80,107.77649150842272,80.00003066867437,1,0.0001266297226277,0.1177044742632538
eff_n>=80,107.77649150842272,80.00003066867437,2,1.0036706233075418e-05,0.024244353183202
eff_n>=80,107.77649150842272,80.00003066867437,3,1.5000556485927352e-05,0.293734035887734
eff_n>=80,107.77649150842272,80.00003066867437,4,1.9789075631915827e-05,0.21023938207634
eff_n>=80,107.77649150842272,80.00003066867437,5,3.925249400533969e-06,0.0615881510045438
eff_n>=80,107.77649150842272,80.00003066867437,6,5.689089458830764e-06,0.0515241439431325
eff_n>=80,107.77649150842272,80.00003066867437,7,5.44736095062768e-05,0.037974840557559
eff_n>=50,85.3329955044701,50.000017833807696,0,6.634472473158659e-05,0.0023979480541922
eff_n>=50,85.3329955044701,50.000017833807696,1,2.815599843773375e-07,0.0101574849520229
eff_n>=50,85.3329955044701,50.000017833807696,2,1.1156128320151996e-05,0.0624115209688478
eff_n>=50,85.3329955044701,50.000017833807696,3,5.339781265993002e-06,0.0743017707870653
eff_n>=50,85.3329955044701,50.000017833807696,4,2.355612031010765e-05,0.1239363055657539
eff_n>=50,85.3329955044701,50.000017833807696,5,1.0325738786655116e-05,0.0720993245224714
eff_n>=50,85.3329955044701,50.000017833807696,6,3.570132557554907e-05,0.020934138429333
eff_n>=50,85.3329955044701,50.000017833807696,7,2.5429972188876616e-06,0.0171948288981787
eff_n>=30,65.5827336402775,30.00030813922985,0,3.397271393901768e-07,0.0019124995849012
eff_n>=30,65.5827336402775,30.00030813922985,1,0.001200099898899,0.4126912539682683
eff_n>=30,65.5827336402775,30.00030813922985,2,2.3514662103796472e-06,0.0013078988235005
eff_n>=30,65.5827336402775,30.00030813922985,3,0.0001424169944794,0.2593169945230935
eff_n>=30,65.5827336402775,30.00030813922985,4,1.2547219533399652e-05,0.1269661280306832
eff_n>=30,65.5827336402775,30.00030813922985,5,1.8528461376788692e-05,0.105950287436522
eff_n>=30,65.5827336402775,30.00030813922985,6,1.8005788917919836e-06,0.0054366849654976
eff_n>=30,65.5827336402775,30.00030813922985,7,2.9055001011581044e-06,0.0115186330524045
eff_n>=15,40.9771336185819,15.004481321672172,0,7.186020034947976e-07,0.0042300812453423
eff_n>=15,40.9771336185819,15.004481321672172,1,9.185982481072828e-05,0.2284957881261697
eff_n>=15,40.9771336185819,15.004481321672172,2,0.0002443477846898,0.0060462396835401
eff_n>=15,40.9771336185819,15.004481321672172,3,3.7175398509240527e-06,0.1127200295867431
eff_n>=15,40.9771336185819,15.004481321672172,4,3.865809329610321e-06,0.0896696249086084
eff_n>=15,40.9771336185819,15.004481321672172,5,1.1947272785891836e-05,0.0140384450153331
eff_n>=15,40.9771336185819,15.004481321672172,6,1.54761105650142e-06,0.0049024847806995
eff_n>=15,40.9771336185819,15.004481321672172,7,4.20319995073753e-06,0.023338627920591
