seed,c,euler_ratio,null_alignment,sigma_min,sigma_max
0,1.0,7.080644118396239e-07,0.32488254474943284,9.437198986799322e-17,1.6665418144202664
0,1000.0,1.187471045786978e-12,0.44832480897664495,3.9767349161322044e-20,0.0022320351460709013
1,1.0,1.0123478827308516e-07,0.3804577271155576,2.1368866581048172e-17,0.7514823002709502
1,1000.0,1.7030706151501662e-13,0.3637547380217048,1.7953597389431342e-20,0.000980315284398476
2,1.0,3.476161353695229e-07,0.46764483823189473,7.644555677543085e-17,1.456088349554215
2,1000.0,8.109554065969311e-13,0.5833910938204693,1.6393398110178614e-19,0.0023402600029026415
3,1.0,3.361413754553588e-07,0.5082840009516107,7.711399061550041e-18,1.3708410334651862
3,1000.0,4.0450913436391355e-13,0.5646920796244732,2.2858961097531093e-20,0.0015402167253947081
4,1.0,9.839757959157718e-08,0.2388827894221684,7.530916799471983e-17,0.9707672753412886
4,1000.0,1.3928066399932208e-13,0.06336445860015544,6.474204042340364e-20,0.0011325371181333174
5,1.0,2.683687234091428e-07,0.24935726465910907,1.7460159717658756e-17,1.1992843510692184
5,1000.0,2.0786165845126004e-13,0.06919457210872201,1.6708064595152704e-20,0.0009928050228506468
6,1.0,4.548139886421704e-07,0.006379002664643384,1.2626670777239819e-16,1.7250979144898937
6,1000.0,5.361071698455217e-13,0.08967165206737938,1.3927229012510112e-19,0.0018883545012970408
7,1.0,1.9653806686411788e-07,0.2953172368243259,4.783506335674754e-17,0.8703144324178301
7,1000.0,3.9182958770485485e-13,0.1983806242887567,1.45071396695907e-19,0.0011708847405792594
