arm,seed,train_mse,rmse_r1,rmse_r2,theoretical_floor
arm_5,0,8.542771166167317e-08,0.00034446406642163767,0.00022847304057040284,25.235
arm_5,1,0.0008538881360650188,0.007463261835598626,0.040645737721569625,25.235
arm_5,2,6.560082670813349e-08,0.00024315174602147042,0.0002684751046611342,25.235
arm_5,3,5.002048902866894e-07,0.0007818041995680296,0.0006238525259317572,25.235
arm_5,4,2.5742485477305517e-07,0.0005677693840969682,0.0004387341290893972,25.235
arm_5,5,1.528975425183326e-06,0.0013340416932061871,0.0011306120515599699,25.235
arm_5,6,2.065307343279697e-08,0.00011607125527370591,0.0001668340809453589,25.235
arm_5,7,2.3270758557753285e-08,0.00015425163534884306,0.00015082423580940751,25.235
arm_6,0,0.0006502895482182671,0.015422833753109714,0.0325993143408835,25.235
arm_6,1,0.00011025880849752994,0.005713444700315864,0.013706719762594579,25.235
arm_6,2,0.003128488614670171,0.005457484756760602,0.07891256610623228,25.235
arm_6,3,2.5990919750817212e-05,0.005065930905804413,0.005130125101673442,25.235
arm_6,4,0.000383110848820271,0.00661242752949548,0.02687931360372749,25.235
arm_6,5,0.0006303689332429153,0.017800500368697812,0.03072263095888717,25.235
arm_6,6,0.00012898796649256638,0.006228024186244084,0.014804987258289963,25.235
arm_6,7,0.00015268495303341373,0.00400756367389518,0.01700909578625457,25.235
