norm_type,seed,train_mse,jx_err_mean,jx_err_max
rmsnorm,0,3.3246994241211616e-07,0.3171070355165828,0.8323349763793383
rmsnorm,1,4.555014809437461e-05,0.5385538481061988,1.4089781056077322
rmsnorm,2,1.2801952180218001e-06,0.5525541286802439,1.374982993244945
rmsnorm,3,5.621499482349847e-06,0.5393766409935835,1.0445564335543323
rmsnorm,4,1.6040564069165225e-07,0.5555659429555281,1.3190862356546378
rmsnorm,5,1.270781905517654e-06,0.5213764138512014,0.9508882654837417
rmsnorm,6,2.1718411440633143e-07,0.3112142620080937,0.7317476322307334
rmsnorm,7,2.814878577622435e-07,0.48986644473653024,1.388804530278259
frozen_sigma,0,5.2163598061863303e-08,0.013973360712021876,0.10923669833961627
frozen_sigma,1,3.2925262573306176e-07,0.07989743056023685,0.4799362470645763
frozen_sigma,2,1.5075860835655676e-07,0.07024629563035,0.21540628780085475
frozen_sigma,3,2.973377893661472e-07,0.14097189935477766,0.45436277594274105
frozen_sigma,4,4.9015472813923214e-08,0.03735593207509107,0.18475300308969156
frozen_sigma,5,8.029121438121994e-07,0.10879721443555765,0.4071189489004613
frozen_sigma,6,3.915469637215038e-08,0.006858203879716685,0.022735328397646234
frozen_sigma,7,4.371002109922557e-08,0.04370589560897224,0.11913481951296172
centering_only,0,5.2163598061863303e-08,0.013973360712021876,0.10923669833961627
centering_only,1,3.2925262573306176e-07,0.07989743056023685,0.4799362470645763
centering_only,2,1.5075860835655676e-07,0.07024629563035,0.21540628780085475
centering_only,3,2.973377893661472e-07,0.14097189935477766,0.45436277594274105
centering_only,4,4.9015472813923214e-08,0.03735593207509107,0.18475300308969156
centering_only,5,8.029121438121994e-07,0.10879721443555765,0.4071189489004613
centering_only,6,3.915469637215038e-08,0.006858203879716685,0.022735328397646234
centering_only,7,4.371002109922557e-08,0.04370589560897224,0.11913481951296172
