rho,seed,train_mse,failure_radius
0.5,0,6.087399885783621e-05,1e-06
0.5,1,0.00010228276660188696,1e-06
0.5,2,2.7976748500334603e-06,1e-06
0.5,3,1.4025859544545932e-05,1e-06
0.5,4,1.373675474737425e-06,1e-06
0.5,5,3.730052090417859e-05,1e-06
0.5,6,1.8687715618897157e-05,1e-06
0.5,7,0.000256163702196766,1e-06
0.9,0,0.0005560749304019727,1e-06
0.9,1,0.0005659842751247277,1e-06
0.9,2,0.0043939564795433565,1e-06
0.9,3,4.6988722476901565e-05,1e-06
0.9,4,0.00042369391473416195,1e-06
0.9,5,0.0026756669504486947,1e-06
0.9,6,8.610899242905346e-05,1e-06
0.9,7,0.0002279229206371962,1e-06
1.03,0,0.0011917726784401836,1e-06
1.03,1,0.0018789301863314037,1e-06
1.03,2,0.0006627559135759704,1e-06
1.03,3,0.01163334781752397,1e-06
1.03,4,0.0030463262358780964,1e-06
1.03,5,0.0010042124983278703,1e-06
1.03,6,0.0023519427402632184,1e-06
1.03,7,0.020400508509220254,1e-06
1.5,0,0.06064261726582527,1e-06
1.5,1,0.02500244595580784,1e-06
1.5,2,0.005598607254494937,1e-06
1.5,3,0.010117626216883054,1e-06
1.5,4,0.46480887990058634,1e-06
1.5,5,0.42983245787189267,1e-06
1.5,6,0.049134466623999014,1e-06
1.5,7,0.8085955202344244,1e-06
3.0,0,0.000674574245186467,1e-06
3.0,1,0.00021935826779535247,1e-06
3.0,2,0.029992336859739885,1e-06
3.0,3,0.02321563939749068,1e-06
3.0,4,0.04701428153285879,1e-06
3.0,5,0.00015984471085661654,1e-06
3.0,6,0.0016753587794484542,1e-06
3.0,7,0.000885419548517127,1e-06
