segment_length,cond,corr
2,92.10232180861172,-0.9577771720718681
4,94.79641055347625,-0.95970797012268
6,76.39915670949482,-0.9422993846872525
8,94.3730135971537,-0.9582854539196011
10,82.06692624169561,-0.9459176537084436
15,83.25916049591983,-0.9473715062234939
20,130.28192099084416,-0.9708837556034223
30,83.8797689535305,-0.9432678201761564
40,89.16122314029147,-0.9555320647898132
50,317.6879879661122,-0.9892196864297531
70,314.1744158315982,-0.9890191814974209
100,383.1639533762956,-0.9907938742179813
