arm,seed,train_mse,jx_slope_radial,jx_r2,ju_slope_nonradial,ju_r2
LN+linear,0,1.3153311644510672e-06,-1.8716174220511967,0.9977008376585711,-0.9929505768106927,0.9999618642871091
LN+linear,1,1.1163136000679329e-06,-1.6166989519927413,0.9592688365223179,-1.01229518933377,0.9999702955375557
LN+linear,2,3.424218389084407e-06,-2.6054426155700785,0.9320082784871714,-1.0031029282535615,0.9999991059677644
LN+linear,3,8.12243101336176e-07,-1.9900644988292915,0.9999897348269233,-1.0088754657933003,0.9999751030873723
LN+linear,4,7.702734167544731e-06,-1.980355160257115,0.9999565289024581,-1.0064035493159298,0.9999907191072024
LN+linear,5,2.9934144094146934e-06,-1.9787570524673561,0.9999590290840513,-0.9982444716486817,0.9999982772945105
LN+linear,6,1.8620810187094652e-06,-1.5867528271379596,0.8597524841546639,-0.9801970138826355,0.9998440796622984
LN+linear,7,1.2774550854900292e-06,-1.7360279754288883,0.8756775383570873,-1.0249536388059834,0.9998622801570937
LN+GELU+GLU,0,4.752070052823501e-07,-2.0875114551001035,0.9097340888141988,-1.1931839867066478,0.9908139682226457
LN+GELU+GLU,1,1.9357630019531464e-06,-2.7929674187907896,0.9864229702269111,-0.8687344125927793,0.9895822901232709
LN+GELU+GLU,2,2.7027955435782624e-07,-2.7611125718781664,0.9403336439116393,-0.9969497073227422,0.9999149266497647
LN+GELU+GLU,3,2.2418656992686953e-07,-1.9847145796084709,0.9999788276400094,-0.9785477757302254,0.9998143975061439
LN+GELU+GLU,4,2.591771695733406e-06,-2.0657093191109372,0.9348723486688474,-1.0977446304032368,0.9313032419058208
LN+GELU+GLU,5,9.58475285072009e-07,-1.711361853474903,0.9761122137452966,-0.9369902561826294,0.967731894464593
LN+GELU+GLU,6,6.028770429198287e-07,-2.6830402900890866,0.9623645683906585,-1.0571625772227133,0.9981284312953913
LN+GELU+GLU,7,1.8632368716064157e-07,-2.5754921119376415,0.8961229775707776,-1.7717681906963811,0.9075836257252776
