arm,seed,train_mse,slope,stderr,r2
LN+GELU+GLU,0,4.752070052823501e-07,-2.0875114551001035,0.18237354587568635,0.9097340888141988
LN+GELU+GLU,1,1.9357630019531464e-06,-2.7929674187907896,0.0908793035320705,0.9864229702269111
LN+GELU+GLU,2,2.7027955435782624e-07,-2.7611125718781664,0.19290176779286491,0.9403336439116393
LN+GELU+GLU,3,2.2418656992686953e-07,-1.9847145796084709,0.002532885840843319,0.9999788276400094
LN+GELU+GLU,4,2.591771695733406e-06,-2.0657093191109372,0.15121820678068953,0.9348723486688474
LN+GELU+GLU,5,9.58475285072009e-07,-1.711361853474903,0.0742520160398035,0.9761122137452966
LN+GELU+GLU,6,6.028770429198287e-07,-2.6830402900890866,0.14715809465258747,0.9623645683906585
LN+GELU+GLU,7,1.8632368716064157e-07,-2.5754921119376415,0.24320051344531296,0.8961229775707776
LN+GELU,0,1.8920205471563146e-05,-1.7521929738150028,0.06125614442694303,0.9843601415033578
LN+GELU,1,1.9673708207842293e-06,-1.948991879088852,0.024307403791091014,0.9979819907692937
LN+GELU,2,3.1690098331034283e-06,-1.978267280306607,0.008278335027765987,0.9997724061306988
LN+GELU,3,1.9118171577884224e-07,-1.9901709486621686,0.0013126518616662323,0.9999943446531084
LN+GELU,4,1.0289151406770776e-06,-2.0259368074452824,0.0028383764680318035,0.9999744835368739
LN+GELU,5,1.6790025483746324e-06,-2.8035696017415797,0.0980192597912833,0.984357847611616
LN+GELU,6,5.01043481232612e-07,-2.1622353151031204,0.01710196248505382,0.9991874009918265
LN+GELU,7,5.577348541563901e-07,-1.9528969165916936,0.004089544900464476,0.9999429953981056
LN+linear,0,1.3153311644510672e-06,-1.8716174220511967,0.024918968054125818,0.9977008376585711
LN+linear,1,1.1163136000679329e-06,-1.6166989519927413,0.09239547884924285,0.9592688365223179
LN+linear,2,3.424218389084407e-06,-2.6054426155700785,0.19517669961212,0.9320082784871714
LN+linear,3,8.12243101336176e-07,-1.9900644988292915,0.0017684013726097147,0.9999897348269233
LN+linear,4,7.702734167544731e-06,-1.980355160257115,0.003621438802948821,0.9999565289024581
LN+linear,5,2.9934144094146934e-06,-1.9787570524673561,0.0035129141226440635,0.9999590290840513
LN+linear,6,1.8620810187094652e-06,-1.5867528271379596,0.17774544238730183,0.8597524841546639
LN+linear,7,1.2774550854900292e-06,-1.7360279754288883,0.18142107610641883,0.8756775383570873
