radius,H,rank_machine_tol,rank_rel_tol_1e-4,rank_le_H_minus_2_at_rel_tol,sigma_max,sigma_H_minus_1,sigma_H,sigma_H_minus_1_over_max,sigma_H_over_max,angle1_deg,angle2_deg,seed
1.0,8,7,6,True,1.6665418144202664,2.446765618934861e-06,9.437198986799322e-17,1.4681693539060753e-06,5.66274359583483e-17,2.0609711461782294e-14,2.2961505765793476e-05,0
1000.0,8,7,6,True,0.0022320351460709013,5.751968311637108e-15,3.9767349161322044e-20,2.577006155912204e-12,1.7816632158021952e-17,2.2480958244554646e-14,5.308223749763971e-11,0
1.0,8,7,6,True,0.7514823002709502,1.4574872774771831e-07,2.1368866581048172e-17,1.939483174722385e-07,2.843562193459984e-17,2.487934876073571e-14,5.7235074228702115e-06,1
1000.0,8,7,6,True,0.000980315284398476,3.1572742060107225e-16,1.7953597389431342e-20,3.220672222761511e-13,1.831410534463687e-17,1.4916122546366475e-14,9.799552317617903e-12,1
1.0,8,7,6,True,1.456088349554215,1.1342856283500197e-06,7.644555677543085e-17,7.789950580246618e-07,5.2500630747327144e-17,9.354331936537717e-15,1.48542314533842e-05,2
1000.0,8,7,6,True,0.0023402600029026415,4.6170510731553625e-15,1.6393398110178614e-19,1.972879537926897e-12,7.004947351937718e-17,2.23182870187431e-14,4.102292073077726e-11,2
1.0,8,7,6,True,1.3708410334651862,1.0900069932241353e-06,7.711399061550041e-18,7.951374131753528e-07,5.62530510343516e-18,1.8373136325890117e-14,1.4285638411683879e-05,3
1000.0,8,7,6,True,0.0015402167253947081,1.5074325737871446e-15,2.2858961097531093e-20,9.78714585378131e-13,1.484139259146993e-17,2.5196651466715314e-14,1.918760939724054e-11,3
1.0,8,7,6,True,0.9707672753412886,1.6190938052738429e-07,7.530916799471983e-17,1.667849593204123e-07,7.757695372275883e-17,2.4840814850560146e-14,2.3471150897702527e-06,4
1000.0,8,7,6,True,0.0011325371181333174,2.599989443160472e-16,6.474204042340364e-20,2.295721174636514e-13,5.716549099080608e-17,1.94953184785907e-14,3.1730894938674573e-12,4
1.0,8,7,6,True,1.1992843510692184,6.002978497280165e-07,1.7460159717658756e-17,5.005467212115482e-07,1.4558815598729527e-17,2.5716676397745788e-14,1.48483136622318e-05,5
1000.0,8,7,6,True,0.0009928050228506468,3.837740546895026e-16,1.6708064595152704e-20,3.8655531132142135e-13,1.6829149944446033e-17,1.3473614255433536e-14,7.991049975742874e-12,5
1.0,8,7,6,True,1.7250979144898937,1.4239569115520363e-06,1.2626670777239819e-16,8.254354141823284e-07,7.319393682632495e-17,2.3589090522672317e-14,1.2269636384833245e-05,6
1000.0,8,7,6,True,0.0018883545012970408,1.8522032307785243e-15,1.3927229012510112e-19,9.808556759370735e-13,7.375325450249947e-17,1.3337720876878438e-14,1.2984602092064316e-11,6
1.0,8,7,6,True,0.8703144324178301,3.741019210605036e-07,4.783506335674754e-17,4.298468543388473e-07,5.496296691743514e-17,1.827006270099404e-14,6.780885242778824e-06,7
1000.0,8,7,6,True,0.0011708847405792594,9.863582930059884e-16,1.45071396695907e-19,8.424042596353402e-13,1.2389895577948805e-16,1.9447278297301862e-14,7.57693435756818e-12,7
