arm,seed,train_mse,r1,r2,floor,optimal_const,y_max,local_slope_at_r1,local_slope_at_r2,rmse_r1,rmse_r2
arm_6,0,0.03507168493299338,5.0,250.0,126.175,131.32500000000002,411.1164751706213,0.11203648791120698,1.9306376597231514,0.036703279080227594,0.26229037186429577
arm_6,1,0.00824036317984104,5.0,250.0,126.175,131.32500000000002,398.443552927035,-3.2404180364832986,-1.2044647258681267,0.03308493620343705,0.12404077295702233
arm_6,2,0.006402700493395332,5.0,250.0,126.175,131.32500000000002,392.8589681787692,-3.532430403928712,-1.8033403719843952,0.0750751725247063,0.08467065283246875
arm_6,3,0.050741563152796085,5.0,250.0,126.175,131.32500000000002,441.0795340253332,-0.7793914141277055,-2.0065723172372065,0.1418014549314048,0.28526386682202504
arm_6,4,0.08295773551757307,5.0,250.0,126.175,131.32500000000002,406.206890310268,-1.8712413946723352,-0.6397983696689745,0.04130048584312708,0.4052280110063501
arm_6,5,0.020316337651278635,5.0,250.0,126.175,131.32500000000002,451.4412035307716,-4.030804220487256,-1.7408274433845976,0.07042674293143754,0.1888723091966152
arm_6,6,0.023729661411710335,5.0,250.0,126.175,131.32500000000002,394.15060487346284,-1.7171198296075163,-2.1947733368305586,0.056402616551110465,0.21042354352636253
arm_6,7,0.34957285597645266,5.0,250.0,126.175,131.32500000000002,408.71287696377254,-0.09633790526383258,-3.9101628960187718,0.2891289143191849,0.7845700624273187
arm_5,0,7.260176641536535e-07,5.0,250.0,126.175,131.32500000000002,,0.00028972723547967237,1.1681690285485681e-07,0.000961675520410483,0.000726096083018864
arm_5,1,1.1014069790684584e-06,5.0,250.0,126.175,131.32500000000002,,-0.12200907072123546,-3.408022013649603e-05,0.0011873798925875832,0.0008904734408275824
arm_5,2,5.180926766169017e-07,5.0,250.0,126.175,131.32500000000002,,-0.005264773029968509,-2.0861315966842816e-06,0.0007801084742151745,0.0006539236359811288
arm_5,3,1.9129963421353184e-06,5.0,250.0,126.175,131.32500000000002,,-0.0020018124261777623,-7.74349593770917e-07,0.0013201220104832032,0.0014433539280845188
arm_5,4,5.662473637084163e-08,5.0,250.0,126.175,131.32500000000002,,-0.0015770934656218882,-7.953256446025937e-07,0.0002911505978399349,0.00016876256136190556
arm_5,5,3.5786420570596967e-06,5.0,250.0,126.175,131.32500000000002,,-0.047705044190360826,-1.6109828253136517e-05,0.0015336735254983525,0.002192060590245135
arm_5,6,7.271444735984464e-08,5.0,250.0,126.175,131.32500000000002,,0.0005708368908121099,2.293535882661003e-07,0.0003152597054063446,0.000214569832142318
arm_5,7,2.3487851627238275e-07,5.0,250.0,126.175,131.32500000000002,,-0.00031831449139298694,-1.243468433849268e-07,0.00048028725388241745,0.0004889592890024041
