arm,seed,window,c_min,c_max,n,slope_x,r2_x,slope_u,r2_u
LN+linear,0,"full [10,1000] n=15",10.0,1000.0,15,-1.9633054460111297,0.9998557267417868,-1.0016623436597285,0.9999997129421276
LN+linear,0,"lower half [10,100] n=8",10.0,100.0,8,-1.9183016806184472,0.9997512233507513,-1.0023704374924407,0.999999380309781
LN+linear,0,"upper half [100,1000] n=8",100.0,1000.0,8,-1.9932023860709138,0.9999987691697448,-1.000699483490723,0.9999999559682438
LN+linear,0,"narrow near-edge [10,19] n=3",10.0,19.306977288832496,3,-1.8227725420084848,0.9998677454576277,-0.9992957343910466,0.9999979363290485
LN+linear,0,"narrow far-edge [373,1000] n=4",372.7593720314938,1000.0,4,-1.9969389602833676,0.9999999495675047,-1.0003341713759952,0.999999997752212
LN+linear,0,"extended far [1e3,1e5] n=15",1000.0,100000.0,15,-1.9996874185586067,0.999999991673068,-1.000035044321862,0.9999999995853539
LN+linear,0,"just past r* [2r*,20r*] n=10",2.628234195427557,26.282341954275577,10,-1.5027007424642562,0.9759506565378375,-0.9609990889569351,0.9991031836232421
LN+linear,3,"full [10,1000] n=15",10.0,1000.0,15,-1.9872259410888875,0.9999815202941511,-1.001130305832966,0.9999997295119266
LN+linear,3,"lower half [10,100] n=8",10.0,100.0,8,-1.9710448785259482,0.9999669290122184,-1.002166409401223,0.9999998200350321
LN+linear,3,"upper half [100,1000] n=8",100.0,1000.0,8,-1.997780861988589,0.9999998671961736,-1.000312278659578,0.9999999906031045
LN+linear,3,"narrow near-edge [10,19] n=3",10.0,19.306977288832496,3,-1.9347896690272612,0.9999815504161086,-1.0031547321169343,0.9999999998339821
LN+linear,3,"narrow far-edge [373,1000] n=4",372.7593720314938,1000.0,4,-1.9990073377988604,0.9999999946689331,-1.0001456558271942,0.9999999995617503
LN+linear,3,"extended far [1e3,1e5] n=15",1000.0,100000.0,15,-1.9998989488074141,0.9999999991289859,-1.0000151152519043,0.999999999922579
LN+linear,3,"just past r* [2r*,20r*] n=10",1.8623289686358753,18.623289686358756,10,-1.6102727197232751,0.9817260782794305,-0.9888862083252653,0.9998792419010792
LN+GELU+GLU,0,"full [10,1000] n=15",10.0,1000.0,15,-2.0166527091503608,0.7355825710530156,-0.7077475348343178,0.7789943278287025
LN+GELU+GLU,0,"lower half [10,100] n=8",10.0,100.0,8,0.20134404597711056,0.0499633894485897,-0.7779517234793483,0.5352705105292698
LN+GELU+GLU,0,"upper half [100,1000] n=8",100.0,1000.0,8,-4.201426700173724,0.9833089325034473,-0.3313903890032545,0.27586366955426583
LN+GELU+GLU,0,"narrow near-edge [10,19] n=3",10.0,19.306977288832496,3,-2.469439620328808,0.6077002393598582,-2.492462582812119,0.9624747205854987
LN+GELU+GLU,0,"narrow far-edge [373,1000] n=4",372.7593720314938,1000.0,4,-3.4538401170524575,0.9475280437763065,-0.9848010007128103,0.9998734557460108
LN+GELU+GLU,0,"extended far [1e3,1e5] n=15",1000.0,100000.0,15,-0.4476340497710675,0.17136035705053387,-1.0000064621308151,0.999999984767025
LN+GELU+GLU,0,"just past r* [2r*,20r*] n=10",2.2717628427111234,22.71762842711123,10,-2.8272044463384267,0.9342941384776983,-1.633882657834938,0.774840273123851
